Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
24:07:2026,00:15,C,mm,km/h,mm,16,16,16,0.00,0.00,578.8,---,22,47,65,1.6,6.4,SSW,W,---,---,---,---
24:07:2026,00:30,C,mm,km/h,mm,16,16,16,0.00,0.00,578.7,---,22,47,65,1.6,8.0,S,SW,---,---,---,---
24:07:2026,00:45,C,mm,km/h,mm,16,16,16,0.00,0.00,578.5,---,22,47,67,0.0,6.4,SW,WSW,---,---,---,---
24:07:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,578.5,---,22,47,67,0.0,4.8,S,SSW,---,---,---,---
24:07:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,578.4,---,22,47,68,1.6,9.7,W,W,---,---,---,---
24:07:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,578.2,---,22,47,68,0.0,9.7,WNW,WSW,---,---,---,---
24:07:2026,01:45,C,mm,km/h,mm,16,16,16,0.00,0.00,578.1,---,22,47,68,1.6,6.4,SSW,WSW,---,---,---,---
24:07:2026,02:00,C,mm,km/h,mm,15,16,15,0.00,0.00,578.1,---,22,47,70,0.0,8.0,SSW,SSW,---,---,---,---
24:07:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,578.0,---,22,47,71,0.0,3.2,WSW,SSW,---,---,---,---
24:07:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,577.8,---,22,47,71,0.0,1.6,SW,SW,---,---,---,---
24:07:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,577.8,---,22,47,73,0.0,0.0,---,---,---,---,---,---
24:07:2026,03:00,C,mm,km/h,mm,14,15,14,0.00,0.00,577.8,---,22,47,75,0.0,0.0,---,---,---,---,---,---
24:07:2026,03:15,C,mm,km/h,mm,13,14,13,0.00,0.00,577.6,---,22,47,77,0.0,0.0,---,---,---,---,---,---
24:07:2026,03:30,C,mm,km/h,mm,13,13,13,0.00,0.00,577.5,---,22,47,81,0.0,0.0,---,---,---,---,---,---
24:07:2026,03:45,C,mm,km/h,mm,12,13,12,0.00,0.00,577.5,---,22,47,82,0.0,0.0,---,---,---,---,---,---
