Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
20:07:2026,00:15,C,mm,km/h,mm,17,17,17,0.00,0.00,578.8,---,21,53,71,0.0,4.8,WNW,W,---,---,---,---
20:07:2026,00:30,C,mm,km/h,mm,17,17,17,0.00,0.00,578.7,---,21,53,73,0.0,1.6,WNW,WNW,---,---,---,---
20:07:2026,00:45,C,mm,km/h,mm,16,17,16,0.00,0.00,578.7,---,21,53,74,0.0,0.0,---,---,---,---,---,---
20:07:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,578.6,---,21,53,78,0.0,0.0,---,---,---,---,---,---
20:07:2026,01:15,C,mm,km/h,mm,15,16,15,0.00,0.00,578.6,---,21,53,81,0.0,0.0,---,---,---,---,---,---
20:07:2026,01:30,C,mm,km/h,mm,14,15,14,0.00,0.00,578.6,---,21,53,83,0.0,0.0,---,---,---,---,---,---
20:07:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,53,85,0.0,0.0,---,---,---,---,---,---
20:07:2026,02:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,53,87,0.0,0.0,---,---,---,---,---,---
20:07:2026,02:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,54,89,0.0,0.0,---,---,---,---,---,---
20:07:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,54,90,0.0,0.0,---,---,---,---,---,---
20:07:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.4,---,21,54,90,0.0,0.0,---,---,---,---,---,---
20:07:2026,03:00,C,mm,km/h,mm,14,14,13,0.00,0.00,578.4,---,21,54,91,0.0,0.0,---,---,---,---,---,---
20:07:2026,03:15,C,mm,km/h,mm,13,14,13,0.00,0.00,578.4,---,21,54,91,0.0,0.0,---,---,---,---,---,---
20:07:2026,03:30,C,mm,km/h,mm,14,14,13,0.00,0.00,578.5,---,21,54,91,0.0,0.0,---,---,---,---,---,---
20:07:2026,03:45,C,mm,km/h,mm,13,14,13,0.00,0.00,578.6,---,21,54,91,0.0,0.0,---,---,---,---,---,---
20:07:2026,04:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.7,---,21,55,92,0.0,0.0,---,---,---,---,---,---
20:07:2026,04:15,C,mm,km/h,mm,13,14,13,0.00,0.00,578.6,---,21,55,92,0.0,0.0,---,---,---,---,---,---
20:07:2026,04:30,C,mm,km/h,mm,13,14,13,0.00,0.00,578.7,---,21,55,91,0.0,0.0,---,---,---,---,---,---
20:07:2026,04:45,C,mm,km/h,mm,14,14,13,0.00,0.00,578.7,---,21,55,91,0.0,0.0,---,---,---,---,---,---
20:07:2026,05:00,C,mm,km/h,mm,13,14,13,0.00,0.00,578.8,---,21,55,91,0.0,0.0,---,---,---,---,---,---
20:07:2026,05:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.8,---,21,55,91,0.0,0.0,---,---,---,---,---,---
20:07:2026,05:30,C,mm,km/h,mm,13,13,13,0.00,0.00,578.9,---,21,55,92,0.0,0.0,---,---,---,---,---,---
20:07:2026,05:45,C,mm,km/h,mm,13,13,13,0.00,0.00,579.0,---,21,55,93,0.0,0.0,---,---,---,---,---,---
20:07:2026,06:00,C,mm,km/h,mm,13,13,13,0.00,0.00,579.0,---,21,55,93,0.0,0.0,---,---,---,---,---,---
20:07:2026,06:15,C,mm,km/h,mm,13,13,13,0.00,0.00,579.2,---,21,55,93,0.0,0.0,---,---,---,---,---,---
20:07:2026,06:30,C,mm,km/h,mm,13,13,13,0.00,0.00,579.2,---,21,55,93,0.0,0.0,---,---,---,---,---,---
20:07:2026,06:45,C,mm,km/h,mm,13,13,13,0.00,0.00,579.2,---,21,55,93,0.0,0.0,---,---,---,---,---,---
