Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
28:07:2026,00:15,C,mm,km/h,mm,17,17,17,0.00,0.00,578.0,---,22,53,78,0.0,0.0,---,---,---,---,---,---
28:07:2026,00:30,C,mm,km/h,mm,17,17,17,0.00,0.00,577.8,---,22,53,78,0.0,1.6,WNW,WNW,---,---,---,---
28:07:2026,00:45,C,mm,km/h,mm,16,17,16,0.00,0.00,577.7,---,22,53,79,0.0,3.2,SSW,SSW,---,---,---,---
28:07:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,577.6,---,22,53,80,0.0,1.6,W,W,---,---,---,---
28:07:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,577.4,---,22,53,82,0.0,0.0,---,---,---,---,---,---
28:07:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,577.3,---,22,53,84,0.0,0.0,---,---,---,---,---,---
28:07:2026,01:45,C,mm,km/h,mm,15,16,15,0.00,0.00,577.1,---,22,53,84,0.0,0.0,---,---,---,---,---,---
28:07:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,577.0,---,22,53,84,0.0,0.0,---,---,---,---,---,---
28:07:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,576.6,---,22,53,85,0.0,0.0,---,---,---,---,---,---
28:07:2026,02:30,C,mm,km/h,mm,14,15,14,0.00,0.00,576.6,---,22,53,87,0.0,0.0,---,---,---,---,---,---
28:07:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,576.6,---,22,53,88,0.0,0.0,---,---,---,---,---,---
28:07:2026,03:00,C,mm,km/h,mm,13,14,13,0.00,0.00,576.6,---,22,53,89,0.0,0.0,---,---,---,---,---,---
28:07:2026,03:15,C,mm,km/h,mm,13,13,13,0.00,0.00,576.6,---,21,53,90,0.0,0.0,---,---,---,---,---,---
28:07:2026,03:30,C,mm,km/h,mm,13,13,13,0.00,0.00,576.7,---,21,54,91,0.0,0.0,---,---,---,---,---,---
28:07:2026,03:45,C,mm,km/h,mm,13,13,13,0.00,0.00,576.9,---,21,54,90,0.0,0.0,---,---,---,---,---,---
28:07:2026,04:00,C,mm,km/h,mm,13,13,13,0.00,0.00,576.8,---,21,54,92,0.0,0.0,---,---,---,---,---,---
28:07:2026,04:15,C,mm,km/h,mm,13,13,13,0.00,0.00,576.6,---,21,54,91,0.0,0.0,---,---,---,---,---,---
28:07:2026,04:30,C,mm,km/h,mm,13,13,13,0.00,0.00,576.6,---,21,54,92,0.0,0.0,---,---,---,---,---,---
28:07:2026,04:45,C,mm,km/h,mm,13,13,13,0.00,0.00,576.4,---,21,54,91,0.0,0.0,---,---,---,---,---,---
