Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
22:07:2026,00:15,C,mm,km/h,mm,16,16,16,0.00,0.00,578.1,---,22,47,68,1.6,8.0,SSW,WSW,---,---,---,---
22:07:2026,00:30,C,mm,km/h,mm,16,16,16,0.00,0.00,578.0,---,22,47,67,1.6,9.7,WSW,W,---,---,---,---
22:07:2026,00:45,C,mm,km/h,mm,16,16,16,0.00,0.00,577.7,---,22,47,68,1.6,8.0,W,WSW,---,---,---,---
22:07:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,577.6,---,22,47,68,1.6,8.0,W,WSW,---,---,---,---
22:07:2026,01:15,C,mm,km/h,mm,15,16,15,0.00,0.00,577.5,---,22,47,70,0.0,4.8,SW,SW,---,---,---,---
22:07:2026,01:30,C,mm,km/h,mm,15,15,15,0.00,0.00,577.3,---,22,47,71,0.0,6.4,W,W,---,---,---,---
22:07:2026,01:45,C,mm,km/h,mm,15,15,15,0.00,0.00,577.1,---,22,47,71,0.0,6.4,WSW,W,---,---,---,---
22:07:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,576.8,---,22,47,72,0.0,3.2,SSW,WNW,---,---,---,---
22:07:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,576.6,---,22,47,73,0.0,6.4,WSW,W,---,---,---,---
22:07:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,576.7,---,22,47,74,0.0,4.8,W,WSW,---,---,---,---
22:07:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,576.5,---,22,47,74,0.0,4.8,SW,SW,---,---,---,---
22:07:2026,03:00,C,mm,km/h,mm,14,15,14,0.00,0.00,576.4,---,21,47,76,0.0,0.0,---,---,---,---,---,---
22:07:2026,03:15,C,mm,km/h,mm,14,14,14,0.00,0.00,576.6,---,21,47,79,0.0,1.6,W,W,---,---,---,---
22:07:2026,03:30,C,mm,km/h,mm,14,14,14,0.00,0.00,576.5,---,21,48,81,0.0,1.6,W,W,---,---,---,---
22:07:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,576.1,---,21,48,81,0.0,1.6,W,W,---,---,---,---
22:07:2026,04:00,C,mm,km/h,mm,14,14,14,0.00,0.00,576.2,---,21,48,83,0.0,1.6,N,N,---,---,---,---
22:07:2026,04:15,C,mm,km/h,mm,14,14,14,0.00,0.00,576.3,---,21,48,83,0.0,1.6,ENE,ENE,---,---,---,---
22:07:2026,04:30,C,mm,km/h,mm,13,14,13,0.00,0.00,576.3,---,21,48,84,0.0,0.0,---,---,---,---,---,---
22:07:2026,04:45,C,mm,km/h,mm,13,13,13,0.00,0.00,576.4,---,21,49,84,0.0,0.0,---,---,---,---,---,---
22:07:2026,05:00,C,mm,km/h,mm,13,13,13,0.00,0.00,576.5,---,21,49,85,0.0,0.0,---,---,---,---,---,---
22:07:2026,05:15,C,mm,km/h,mm,13,13,13,0.00,0.00,576.4,---,21,49,83,0.0,0.0,---,---,---,---,---,---
22:07:2026,05:30,C,mm,km/h,mm,12,13,12,0.00,0.00,576.6,---,21,49,86,0.0,0.0,---,---,---,---,---,---
22:07:2026,05:45,C,mm,km/h,mm,12,12,12,0.00,0.00,576.7,---,21,49,86,0.0,0.0,---,---,---,---,---,---
