Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
02:09:2026,00:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.6,---,22,55,88,0.0,1.6,SSW,SSW,---,---,---,---
02:09:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.6,---,22,55,88,0.0,0.0,---,---,---,---,---,---
02:09:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,22,55,89,0.0,0.0,---,---,---,---,---,---
02:09:2026,01:00,C,mm,km/h,mm,14,15,14,0.00,0.00,580.3,---,22,55,90,0.0,0.0,---,---,---,---,---,---
02:09:2026,01:15,C,mm,km/h,mm,14,15,14,0.00,0.00,580.1,---,22,55,90,0.0,0.0,---,---,---,---,---,---
02:09:2026,01:30,C,mm,km/h,mm,14,14,14,0.00,0.00,580.0,---,22,55,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.9,---,22,55,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,02:00,C,mm,km/h,mm,14,15,14,0.00,0.00,579.7,---,22,56,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,02:15,C,mm,km/h,mm,15,15,14,0.00,0.00,579.6,---,22,56,90,0.0,0.0,---,---,---,---,---,---
02:09:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.5,---,22,56,89,0.0,0.0,---,---,---,---,---,---
02:09:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.5,---,22,56,88,0.0,0.0,---,---,---,---,---,---
02:09:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.4,---,22,56,88,0.0,0.0,---,---,---,---,---,---
02:09:2026,03:15,C,mm,km/h,mm,15,15,14,0.00,0.00,579.4,---,22,56,90,0.0,0.0,---,---,---,---,---,---
02:09:2026,03:30,C,mm,km/h,mm,14,15,14,0.00,0.00,579.3,---,21,56,90,0.0,0.0,---,---,---,---,---,---
02:09:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,21,56,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,04:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,21,56,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,04:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,21,56,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,04:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,21,56,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,04:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,21,56,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,05:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,21,56,92,0.0,0.0,---,---,---,---,---,---
02:09:2026,05:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,21,56,92,0.0,0.0,---,---,---,---,---,---
02:09:2026,05:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,21,56,92,0.0,0.0,---,---,---,---,---,---
02:09:2026,05:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,21,56,92,0.0,0.0,---,---,---,---,---,---
02:09:2026,06:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,21,57,92,0.0,0.0,---,---,---,---,---,---
02:09:2026,06:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.5,---,21,57,92,0.0,0.0,---,---,---,---,---,---
02:09:2026,06:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.6,---,21,57,93,0.0,0.0,---,---,---,---,---,---
02:09:2026,06:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.8,---,21,57,93,0.0,0.0,---,---,---,---,---,---
02:09:2026,07:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.8,---,21,57,93,0.0,0.0,---,---,---,---,---,---
02:09:2026,07:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.8,---,21,57,92,0.0,0.0,---,---,---,---,---,---
02:09:2026,07:30,C,mm,km/h,mm,15,15,14,0.00,0.00,579.9,---,21,57,91,0.0,0.0,---,---,---,---,---,---
02:09:2026,07:45,C,mm,km/h,mm,16,16,15,0.00,0.00,580.0,---,21,57,89,0.0,0.0,---,---,---,---,---,---
02:09:2026,08:00,C,mm,km/h,mm,16,16,16,0.00,0.00,580.1,---,21,57,86,0.0,0.0,---,---,---,---,---,---
02:09:2026,08:15,C,mm,km/h,mm,16,16,16,0.00,0.00,580.2,---,21,57,84,0.0,0.0,---,---,---,---,---,---
02:09:2026,08:30,C,mm,km/h,mm,17,17,16,0.00,0.00,580.4,---,21,57,83,0.0,0.0,---,---,---,---,---,---
02:09:2026,08:45,C,mm,km/h,mm,17,17,17,0.00,0.00,580.5,---,21,57,80,0.0,0.0,---,---,---,---,---,---
02:09:2026,09:00,C,mm,km/h,mm,17,18,17,0.00,0.00,580.6,---,22,57,78,0.0,1.6,SSW,SSW,---,---,---,---
02:09:2026,09:15,C,mm,km/h,mm,18,18,17,0.00,0.00,580.6,---,22,56,78,0.0,0.0,---,---,---,---,---,---
02:09:2026,09:30,C,mm,km/h,mm,19,19,18,0.00,0.00,580.7,---,22,56,70,0.0,1.6,SSW,SSW,---,---,---,---
02:09:2026,09:45,C,mm,km/h,mm,19,19,19,0.00,0.00,580.7,---,22,56,69,0.0,4.8,W,W,---,---,---,---
02:09:2026,10:00,C,mm,km/h,mm,20,20,19,0.00,0.00,580.6,---,22,56,68,0.0,3.2,ENE,ENE,---,---,---,---
02:09:2026,10:15,C,mm,km/h,mm,20,21,20,0.00,0.00,580.6,---,22,56,67,0.0,4.8,E,E,---,---,---,---
02:09:2026,10:30,C,mm,km/h,mm,22,22,21,0.00,0.00,580.5,---,22,55,62,0.0,3.2,E,E,---,---,---,---
02:09:2026,10:45,C,mm,km/h,mm,21,22,21,0.00,0.00,580.4,---,22,55,62,1.6,8.0,NE,ENE,---,---,---,---
02:09:2026,11:00,C,mm,km/h,mm,22,22,21,0.00,0.00,580.2,---,22,55,59,0.0,1.6,NE,E,---,---,---,---
02:09:2026,11:15,C,mm,km/h,mm,22,22,22,0.00,0.00,580.1,---,22,55,60,1.6,6.4,SE,E,---,---,---,---
02:09:2026,11:30,C,mm,km/h,mm,24,24,22,0.00,0.00,580.0,---,22,55,56,0.0,3.2,ENE,ENE,---,---,---,---
02:09:2026,11:45,C,mm,km/h,mm,24,24,23,0.00,0.00,579.6,---,22,55,52,0.0,6.4,NW,NNW,---,---,---,---
02:09:2026,12:00,C,mm,km/h,mm,25,25,24,0.00,0.00,579.4,---,22,55,54,0.0,3.2,SSE,NNE,---,---,---,---
02:09:2026,12:15,C,mm,km/h,mm,24,25,24,0.00,0.00,579.4,---,22,55,48,0.0,6.4,E,ENE,---,---,---,---
02:09:2026,12:30,C,mm,km/h,mm,24,24,24,0.00,0.00,579.1,---,22,55,50,1.6,4.8,SE,E,---,---,---,---
02:09:2026,12:45,C,mm,km/h,mm,24,24,24,0.00,0.00,578.9,---,22,55,50,1.6,6.4,E,E,---,---,---,---
02:09:2026,13:00,C,mm,km/h,mm,25,25,24,0.00,0.00,578.4,---,22,55,49,1.6,6.4,NW,NW,---,---,---,---
02:09:2026,13:15,C,mm,km/h,mm,25,25,25,0.00,0.00,578.2,---,22,55,47,1.6,11.3,SSW,W,---,---,---,---
02:09:2026,13:30,C,mm,km/h,mm,26,26,25,0.00,0.00,578.0,---,23,56,45,1.6,6.4,WSW,WSW,---,---,---,---
02:09:2026,13:45,C,mm,km/h,mm,25,26,25,0.00,0.00,577.8,---,23,56,45,1.6,8.0,E,E,---,---,---,---
02:09:2026,14:00,C,mm,km/h,mm,25,26,25,0.00,0.00,577.7,---,23,55,42,0.0,3.2,E,E,---,---,---,---
02:09:2026,14:15,C,mm,km/h,mm,25,25,25,0.00,0.00,577.4,---,23,55,42,0.0,6.4,ENE,E,---,---,---,---
02:09:2026,14:30,C,mm,km/h,mm,26,26,25,0.00,0.00,577.2,---,23,55,44,0.0,9.7,WNW,WSW,---,---,---,---
02:09:2026,14:45,C,mm,km/h,mm,25,26,25,0.00,0.00,577.0,---,23,55,47,1.6,11.3,WSW,NNW,---,---,---,---
02:09:2026,15:00,C,mm,km/h,mm,25,25,25,0.00,0.00,577.0,---,23,55,50,1.6,9.7,WNW,W,---,---,---,---
02:09:2026,15:15,C,mm,km/h,mm,25,25,25,0.00,0.00,576.8,---,23,54,52,1.6,9.7,WSW,NW,---,---,---,---
02:09:2026,15:30,C,mm,km/h,mm,24,25,24,0.00,0.00,576.7,---,23,53,49,1.6,8.0,N,NNW,---,---,---,---
02:09:2026,15:45,C,mm,km/h,mm,25,25,24,0.00,0.00,576.4,---,24,53,46,1.6,8.0,WNW,W,---,---,---,---
02:09:2026,16:00,C,mm,km/h,mm,25,25,25,0.00,0.00,576.4,---,24,53,47,0.0,4.8,WNW,NW,---,---,---,---
02:09:2026,16:15,C,mm,km/h,mm,25,25,25,0.00,0.00,576.2,---,23,52,44,0.0,8.0,SSW,SSW,---,---,---,---
