Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
14:09:2026,00:15,C,mm,km/h,mm,15,15,15,0.20,0.00,578.4,---,22,57,89,0.0,0.0,---,---,---,---,---,---
14:09:2026,00:30,C,mm,km/h,mm,14,15,14,0.00,0.00,578.5,---,22,57,90,0.0,0.0,---,---,---,---,---,---
14:09:2026,00:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,22,57,91,0.0,0.0,---,---,---,---,---,---
14:09:2026,01:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,22,57,91,0.0,0.0,---,---,---,---,---,---
14:09:2026,01:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,22,57,92,0.0,0.0,---,---,---,---,---,---
14:09:2026,01:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,22,57,92,0.0,0.0,---,---,---,---,---,---
14:09:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.4,---,22,57,93,0.0,0.0,---,---,---,---,---,---
14:09:2026,02:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.4,---,22,57,92,0.0,1.6,NNW,SSE,---,---,---,---
14:09:2026,02:15,C,mm,km/h,mm,15,15,14,0.00,0.00,578.2,---,22,57,90,0.0,6.4,SW,SW,---,---,---,---
14:09:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,578.0,---,22,57,90,0.0,4.8,S,SW,---,---,---,---
14:09:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,577.9,---,22,57,90,0.0,1.6,NW,NW,---,---,---,---
14:09:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,577.9,---,21,57,89,0.0,9.7,WSW,W,---,---,---,---
14:09:2026,03:15,C,mm,km/h,mm,14,15,14,0.00,0.00,577.9,---,21,57,90,0.0,0.0,---,---,---,---,---,---
14:09:2026,03:30,C,mm,km/h,mm,14,14,14,0.00,0.00,577.9,---,21,57,90,0.0,1.6,W,W,---,---,---,---
14:09:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.2,---,21,57,89,0.0,1.6,SSW,SSW,---,---,---,---
14:09:2026,04:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.1,---,21,57,89,0.0,0.0,---,---,---,---,---,---
14:09:2026,04:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.2,---,21,57,90,0.0,0.0,---,---,---,---,---,---
14:09:2026,04:30,C,mm,km/h,mm,13,14,13,0.00,0.00,578.2,---,21,57,91,0.0,0.0,---,---,---,---,---,---
14:09:2026,04:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.3,---,21,57,91,0.0,0.0,---,---,---,---,---,---
14:09:2026,05:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,57,92,0.0,0.0,---,---,---,---,---,---
14:09:2026,05:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,57,92,0.0,0.0,---,---,---,---,---,---
14:09:2026,05:30,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,57,92,0.0,0.0,---,---,---,---,---,---
14:09:2026,05:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.5,---,21,57,92,0.0,0.0,---,---,---,---,---,---
14:09:2026,06:00,C,mm,km/h,mm,12,13,12,0.00,0.00,578.8,---,21,57,92,0.0,0.0,---,---,---,---,---,---
