Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
25:09:2026,00:15,C,mm,km/h,mm,18,18,18,0.00,0.00,578.5,---,23,48,72,0.0,3.2,SSW,W,---,---,---,---
25:09:2026,00:30,C,mm,km/h,mm,18,18,18,0.00,0.00,578.6,---,23,48,72,0.0,3.2,W,W,---,---,---,---
25:09:2026,00:45,C,mm,km/h,mm,18,18,18,0.00,0.00,578.5,---,23,48,72,0.0,3.2,WSW,WSW,---,---,---,---
25:09:2026,01:00,C,mm,km/h,mm,18,18,18,0.00,0.00,578.4,---,23,48,72,0.0,4.8,W,W,---,---,---,---
25:09:2026,01:15,C,mm,km/h,mm,18,18,18,0.00,0.00,578.3,---,23,48,74,0.0,8.0,S,WSW,---,---,---,---
25:09:2026,01:30,C,mm,km/h,mm,18,18,18,0.00,0.00,578.2,---,23,48,74,1.6,9.7,S,W,---,---,---,---
25:09:2026,01:45,C,mm,km/h,mm,17,18,17,0.00,0.00,578.0,---,23,48,76,1.6,9.7,SW,WSW,---,---,---,---
25:09:2026,02:00,C,mm,km/h,mm,17,17,17,0.00,0.00,577.9,---,23,49,78,1.6,6.4,S,WSW,---,---,---,---
25:09:2026,02:15,C,mm,km/h,mm,17,17,17,0.00,0.00,577.9,---,23,49,78,0.0,4.8,SW,SW,---,---,---,---
25:09:2026,02:30,C,mm,km/h,mm,17,17,17,0.00,0.00,577.7,---,23,49,78,1.6,8.0,NNW,W,---,---,---,---
25:09:2026,02:45,C,mm,km/h,mm,17,17,17,0.00,0.00,577.6,---,23,49,78,1.6,6.4,WSW,W,---,---,---,---
25:09:2026,03:00,C,mm,km/h,mm,16,17,16,0.00,0.00,577.4,---,23,49,79,0.0,6.4,WNW,WSW,---,---,---,---
25:09:2026,03:15,C,mm,km/h,mm,16,16,16,0.00,0.00,577.3,---,23,49,81,0.0,3.2,SW,W,---,---,---,---
25:09:2026,03:30,C,mm,km/h,mm,16,16,16,0.00,0.00,577.3,---,23,49,83,0.0,4.8,SW,SW,---,---,---,---
25:09:2026,03:45,C,mm,km/h,mm,15,16,15,0.00,0.00,577.3,---,23,50,84,1.6,6.4,S,SW,---,---,---,---
25:09:2026,04:00,C,mm,km/h,mm,15,15,15,0.00,0.00,577.2,---,23,50,84,1.6,8.0,SSE,SW,---,---,---,---
25:09:2026,04:15,C,mm,km/h,mm,15,15,15,0.00,0.00,577.2,---,23,50,85,0.0,4.8,SSW,SW,---,---,---,---
25:09:2026,04:30,C,mm,km/h,mm,15,15,15,0.00,0.00,577.2,---,23,50,85,0.0,4.8,S,SW,---,---,---,---
25:09:2026,04:45,C,mm,km/h,mm,15,15,15,0.00,0.00,577.2,---,23,50,85,0.0,3.2,SW,SW,---,---,---,---
25:09:2026,05:00,C,mm,km/h,mm,15,15,15,0.00,0.00,577.3,---,23,50,85,0.0,9.7,S,WSW,---,---,---,---
25:09:2026,05:15,C,mm,km/h,mm,15,15,15,0.00,0.00,577.3,---,23,50,85,0.0,4.8,S,S,---,---,---,---
25:09:2026,05:30,C,mm,km/h,mm,15,15,15,0.00,0.00,577.3,---,23,50,86,0.0,6.4,WSW,S,---,---,---,---
25:09:2026,05:45,C,mm,km/h,mm,15,15,15,0.00,0.00,577.3,---,23,50,86,0.0,4.8,SSW,SSW,---,---,---,---
25:09:2026,06:00,C,mm,km/h,mm,15,15,15,0.00,0.00,577.4,---,23,50,86,0.0,4.8,WSW,WSW,---,---,---,---
25:09:2026,06:15,C,mm,km/h,mm,15,15,15,0.00,0.00,577.6,---,23,51,86,0.0,6.4,S,WSW,---,---,---,---
25:09:2026,06:30,C,mm,km/h,mm,15,15,15,0.00,0.00,577.6,---,23,51,86,0.0,4.8,WSW,W,---,---,---,---
25:09:2026,06:45,C,mm,km/h,mm,14,15,14,0.00,0.00,577.7,---,22,51,86,0.0,3.2,W,W,---,---,---,---
25:09:2026,07:00,C,mm,km/h,mm,15,15,14,0.00,0.00,577.8,---,22,51,86,0.0,1.6,WNW,W,---,---,---,---
