Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
18:09:2026,00:15,C,mm,km/h,mm,16,16,16,0.00,0.00,580.8,---,22,51,76,0.0,4.8,WNW,NNW,---,---,---,---
18:09:2026,00:30,C,mm,km/h,mm,15,16,15,0.00,0.00,580.6,---,22,51,76,0.0,0.0,---,---,---,---,---,---
18:09:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.4,---,22,51,78,0.0,1.6,WSW,WSW,---,---,---,---
18:09:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,22,51,79,0.0,4.8,WSW,WSW,---,---,---,---
18:09:2026,01:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.1,---,22,51,80,1.6,6.4,W,WSW,---,---,---,---
18:09:2026,01:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.8,---,22,51,80,1.6,8.0,WSW,W,---,---,---,---
18:09:2026,01:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.7,---,22,51,80,0.0,4.8,W,W,---,---,---,---
18:09:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.6,---,22,51,80,0.0,3.2,NW,NW,---,---,---,---
18:09:2026,02:15,C,mm,km/h,mm,14,15,14,0.00,0.00,579.4,---,22,51,81,0.0,0.0,---,---,---,---,---,---
18:09:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.4,---,22,51,83,0.0,0.0,---,---,---,---,---,---
18:09:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,22,51,84,0.0,0.0,---,---,---,---,---,---
18:09:2026,03:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,22,51,85,0.0,4.8,S,SSW,---,---,---,---
18:09:2026,03:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,22,51,85,0.0,6.4,W,SW,---,---,---,---
18:09:2026,03:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.4,---,22,51,85,0.0,4.8,SSW,SW,---,---,---,---
18:09:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.4,---,22,51,85,0.0,4.8,SSW,WSW,---,---,---,---
18:09:2026,04:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,22,51,86,0.0,4.8,SW,W,---,---,---,---
18:09:2026,04:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,22,51,86,0.0,4.8,SW,SW,---,---,---,---
18:09:2026,04:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.4,---,22,52,86,1.6,8.0,SSW,SW,---,---,---,---
18:09:2026,04:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.4,---,22,52,86,1.6,8.0,WSW,WSW,---,---,---,---
18:09:2026,05:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.1,---,21,52,87,0.0,4.8,SW,SW,---,---,---,---
18:09:2026,05:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.0,---,21,52,88,0.0,6.4,SSW,SW,---,---,---,---
18:09:2026,05:30,C,mm,km/h,mm,13,14,13,0.00,0.00,579.2,---,21,52,88,0.0,4.8,SW,WSW,---,---,---,---
18:09:2026,05:45,C,mm,km/h,mm,13,13,13,0.00,0.00,579.3,---,21,52,88,0.0,3.2,SW,SW,---,---,---,---
18:09:2026,06:00,C,mm,km/h,mm,13,13,13,0.00,0.00,579.4,---,21,52,88,0.0,6.4,SW,SW,---,---,---,---
18:09:2026,06:15,C,mm,km/h,mm,13,13,13,0.00,0.00,579.4,---,21,52,88,0.0,3.2,WSW,WSW,---,---,---,---
18:09:2026,06:30,C,mm,km/h,mm,13,13,13,0.00,0.00,579.4,---,21,52,88,0.0,0.0,---,---,---,---,---,---
18:09:2026,06:45,C,mm,km/h,mm,13,13,13,0.00,0.00,579.4,---,21,52,88,0.0,6.4,SSW,SW,---,---,---,---
18:09:2026,07:00,C,mm,km/h,mm,14,14,13,0.00,0.00,579.5,---,21,52,88,0.0,4.8,SW,SW,---,---,---,---
18:09:2026,07:15,C,mm,km/h,mm,14,14,13,0.00,0.00,579.6,---,21,52,87,0.0,6.4,SSW,SW,---,---,---,---
18:09:2026,07:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.7,---,21,52,85,1.6,11.3,SSW,SW,---,---,---,---
18:09:2026,07:45,C,mm,km/h,mm,15,15,14,0.00,0.00,579.8,---,21,52,84,1.6,8.0,S,SW,---,---,---,---
18:09:2026,08:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.8,---,21,52,81,1.6,9.7,SW,SW,---,---,---,---
18:09:2026,08:15,C,mm,km/h,mm,16,16,15,0.00,0.00,579.7,---,21,52,78,3.2,9.7,WNW,W,---,---,---,---
18:09:2026,08:30,C,mm,km/h,mm,17,17,16,0.00,0.00,580.1,---,21,52,74,1.6,9.7,S,SW,---,---,---,---
18:09:2026,08:45,C,mm,km/h,mm,19,19,17,0.00,0.00,579.9,---,21,52,67,0.0,6.4,NNW,N,---,---,---,---
18:09:2026,09:00,C,mm,km/h,mm,19,19,19,0.00,0.00,580.1,---,22,52,66,4.8,12.9,W,W,---,---,---,---
18:09:2026,09:15,C,mm,km/h,mm,20,20,19,0.00,0.00,580.2,---,22,52,65,3.2,12.9,W,WSW,---,---,---,---
18:09:2026,09:30,C,mm,km/h,mm,20,20,19,0.00,0.00,580.0,---,22,51,63,4.8,16.1,W,W,---,---,---,---
18:09:2026,09:45,C,mm,km/h,mm,21,21,20,0.00,0.00,580.2,---,22,50,60,3.2,9.7,WNW,W,---,---,---,---
18:09:2026,10:00,C,mm,km/h,mm,21,21,21,0.00,0.00,580.2,---,22,50,59,3.2,12.9,SW,W,---,---,---,---
18:09:2026,10:15,C,mm,km/h,mm,21,21,21,0.00,0.00,580.2,---,23,50,59,1.6,17.7,W,WSW,---,---,---,---
18:09:2026,10:30,C,mm,km/h,mm,20,21,20,0.00,0.00,580.1,---,23,49,60,3.2,12.9,WSW,WSW,---,---,---,---
18:09:2026,10:45,C,mm,km/h,mm,21,21,20,0.00,0.00,579.9,---,23,49,58,1.6,12.9,SW,WSW,---,---,---,---
18:09:2026,11:00,C,mm,km/h,mm,22,22,21,0.00,0.00,579.7,---,23,48,53,1.6,9.7,WNW,W,---,---,---,---
18:09:2026,11:15,C,mm,km/h,mm,22,22,22,0.00,0.00,579.6,---,23,48,54,1.6,9.7,WSW,W,---,---,---,---
18:09:2026,11:30,C,mm,km/h,mm,23,23,22,0.00,0.00,579.3,---,23,48,53,1.6,8.0,NNW,W,---,---,---,---
18:09:2026,11:45,C,mm,km/h,mm,23,23,23,0.00,0.00,579.1,---,23,48,51,1.6,11.3,WNW,W,---,---,---,---
18:09:2026,12:00,C,mm,km/h,mm,23,23,23,0.00,0.00,578.9,---,23,48,49,1.6,12.9,ESE,E,---,---,---,---
18:09:2026,12:15,C,mm,km/h,mm,24,24,23,0.00,0.00,578.7,---,23,49,47,1.6,16.1,NW,NNW,---,---,---,---
18:09:2026,12:30,C,mm,km/h,mm,25,25,24,0.00,0.00,578.6,---,23,48,45,1.6,9.7,WNW,NNW,---,---,---,---
18:09:2026,12:45,C,mm,km/h,mm,24,25,24,0.00,0.00,578.5,---,23,48,45,3.2,14.5,SSW,W,---,---,---,---
18:09:2026,13:00,C,mm,km/h,mm,24,25,24,0.00,0.00,578.4,---,23,48,46,1.6,11.3,WSW,W,---,---,---,---
18:09:2026,13:15,C,mm,km/h,mm,23,24,23,0.00,0.00,578.3,---,23,48,48,3.2,12.9,WSW,NNW,---,---,---,---
18:09:2026,13:30,C,mm,km/h,mm,23,23,23,0.00,0.00,578.1,---,23,47,47,1.6,9.7,W,W,---,---,---,---
18:09:2026,13:45,C,mm,km/h,mm,23,23,23,0.00,0.00,577.8,---,23,47,48,3.2,11.3,SW,WSW,---,---,---,---
18:09:2026,14:00,C,mm,km/h,mm,24,24,23,0.00,0.00,577.6,---,24,47,45,3.2,9.7,WSW,W,---,---,---,---
18:09:2026,14:15,C,mm,km/h,mm,24,24,24,0.00,0.00,577.3,---,24,47,46,1.6,8.0,SW,W,---,---,---,---
18:09:2026,14:30,C,mm,km/h,mm,25,25,24,0.00,0.00,577.1,---,24,47,45,1.6,11.3,NW,NW,---,---,---,---
18:09:2026,14:45,C,mm,km/h,mm,25,25,25,0.00,0.00,577.0,---,24,46,43,3.2,11.3,NW,NNW,---,---,---,---
