Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
09:09:2026,00:15,C,mm,km/h,mm,15,16,15,0.00,0.00,580.2,---,22,54,84,0.0,3.2,W,W,---,---,---,---
09:09:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.0,---,22,54,83,0.0,4.8,SSE,SW,---,---,---,---
09:09:2026,00:45,C,mm,km/h,mm,15,16,15,0.20,0.00,580.0,---,22,54,82,1.6,8.0,SW,SW,---,---,---,---
09:09:2026,01:00,C,mm,km/h,mm,15,16,15,0.00,0.00,579.9,---,22,54,82,1.6,8.0,SW,WSW,---,---,---,---
09:09:2026,01:15,C,mm,km/h,mm,16,16,15,0.00,0.00,579.9,---,22,54,82,1.6,8.0,SSE,WSW,---,---,---,---
09:09:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,579.7,---,22,54,82,0.0,3.2,W,W,---,---,---,---
09:09:2026,01:45,C,mm,km/h,mm,16,16,16,0.00,0.00,579.6,---,22,54,82,0.0,0.0,---,---,---,---,---,---
09:09:2026,02:00,C,mm,km/h,mm,16,16,16,0.00,0.00,579.4,---,22,54,82,0.0,1.6,WSW,WSW,---,---,---,---
09:09:2026,02:15,C,mm,km/h,mm,15,16,15,0.00,0.00,579.5,---,22,54,83,0.0,3.2,SSW,SSW,---,---,---,---
09:09:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.5,---,22,54,83,0.0,1.6,NE,NE,---,---,---,---
09:09:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.4,---,22,54,83,0.0,1.6,SSE,S,---,---,---,---
09:09:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.3,---,22,54,83,0.0,1.6,NE,NNW,---,---,---,---
09:09:2026,03:15,C,mm,km/h,mm,15,15,15,0.00,0.00,579.3,---,22,54,84,0.0,1.6,SW,WNW,---,---,---,---
09:09:2026,03:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.6,---,22,54,83,0.0,4.8,SSW,SSW,---,---,---,---
09:09:2026,03:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.7,---,22,54,82,0.0,3.2,SSW,SSW,---,---,---,---
09:09:2026,04:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.6,---,22,54,81,0.0,6.4,W,W,---,---,---,---
09:09:2026,04:15,C,mm,km/h,mm,15,15,15,0.00,0.00,579.4,---,22,54,81,0.0,8.0,S,SW,---,---,---,---
09:09:2026,04:30,C,mm,km/h,mm,14,15,14,0.00,0.00,579.4,---,22,53,83,0.0,6.4,SSW,SW,---,---,---,---
09:09:2026,04:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.5,---,22,53,84,0.0,3.2,SW,SSW,---,---,---,---
09:09:2026,05:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.5,---,21,53,85,0.0,3.2,WSW,WSW,---,---,---,---
09:09:2026,05:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.5,---,21,53,84,1.6,6.4,WSW,SW,---,---,---,---
09:09:2026,05:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.5,---,21,53,84,0.0,4.8,S,SSW,---,---,---,---
09:09:2026,05:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.8,---,21,53,83,1.6,6.4,WSW,SW,---,---,---,---
09:09:2026,06:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.7,---,21,53,84,0.0,4.8,SE,SSW,---,---,---,---
09:09:2026,06:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.6,---,21,53,85,0.0,3.2,WSW,WSW,---,---,---,---
09:09:2026,06:30,C,mm,km/h,mm,14,14,13,0.00,0.00,579.6,---,21,53,85,0.0,4.8,SW,SW,---,---,---,---
09:09:2026,06:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.7,---,21,53,85,0.0,3.2,W,W,---,---,---,---
09:09:2026,07:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.9,---,21,53,83,1.6,11.3,WSW,W,---,---,---,---
09:09:2026,07:15,C,mm,km/h,mm,14,14,14,0.00,0.00,580.0,---,21,53,81,1.6,6.4,WSW,W,---,---,---,---
09:09:2026,07:30,C,mm,km/h,mm,15,15,14,0.00,0.00,580.0,---,21,53,81,0.0,6.4,W,WSW,---,---,---,---
09:09:2026,07:45,C,mm,km/h,mm,16,16,15,0.00,0.00,580.2,---,21,53,73,0.0,1.6,SW,SW,---,---,---,---
09:09:2026,08:00,C,mm,km/h,mm,16,17,16,0.00,0.00,580.3,---,21,53,76,0.0,3.2,SE,SE,---,---,---,---
09:09:2026,08:15,C,mm,km/h,mm,17,17,16,0.00,0.00,580.4,---,21,53,75,0.0,3.2,ENE,ENE,---,---,---,---
09:09:2026,08:30,C,mm,km/h,mm,17,18,17,0.00,0.00,580.6,---,22,53,72,0.0,4.8,E,E,---,---,---,---
09:09:2026,08:45,C,mm,km/h,mm,19,19,17,0.00,0.00,580.5,---,22,53,67,0.0,6.4,WNW,WNW,---,---,---,---
09:09:2026,09:00,C,mm,km/h,mm,20,20,19,0.00,0.00,580.5,---,22,53,64,0.0,6.4,E,W,---,---,---,---
09:09:2026,09:15,C,mm,km/h,mm,19,20,19,0.00,0.00,580.5,---,22,52,65,0.0,6.4,E,E,---,---,---,---
09:09:2026,09:30,C,mm,km/h,mm,19,19,19,0.00,0.00,580.4,---,22,52,65,1.6,4.8,SE,E,---,---,---,---
09:09:2026,09:45,C,mm,km/h,mm,20,20,19,0.00,0.00,580.5,---,22,51,63,0.0,6.4,E,E,---,---,---,---
09:09:2026,10:00,C,mm,km/h,mm,20,20,20,0.00,0.00,580.8,---,22,51,64,0.0,4.8,E,E,---,---,---,---
09:09:2026,10:15,C,mm,km/h,mm,20,20,20,0.00,0.00,580.6,---,22,51,63,0.0,6.4,WNW,NW,---,---,---,---
09:09:2026,10:30,C,mm,km/h,mm,21,21,21,0.00,0.00,580.6,---,22,51,60,1.6,6.4,ENE,ENE,---,---,---,---
09:09:2026,10:45,C,mm,km/h,mm,20,21,20,0.00,0.00,580.5,---,22,52,62,0.0,8.0,E,E,---,---,---,---
09:09:2026,11:00,C,mm,km/h,mm,22,22,20,0.00,0.00,580.4,---,22,52,56,0.0,3.2,NE,NNW,---,---,---,---
09:09:2026,11:15,C,mm,km/h,mm,22,23,22,0.00,0.00,580.3,---,22,52,56,0.0,6.4,NNE,NNW,---,---,---,---
09:09:2026,11:30,C,mm,km/h,mm,23,23,22,0.00,0.00,580.0,---,22,52,54,1.6,8.0,NW,NNW,---,---,---,---
09:09:2026,11:45,C,mm,km/h,mm,24,24,23,0.00,0.00,580.0,---,22,52,51,0.0,4.8,S,N,---,---,---,---
09:09:2026,12:00,C,mm,km/h,mm,24,24,23,0.00,0.00,579.9,---,22,52,52,0.0,4.8,ENE,ENE,---,---,---,---
09:09:2026,12:15,C,mm,km/h,mm,24,24,23,0.00,0.00,579.6,---,22,52,51,1.6,4.8,SE,ENE,---,---,---,---
09:09:2026,12:30,C,mm,km/h,mm,24,24,23,0.00,0.00,579.4,---,22,52,51,1.6,8.0,ESE,ENE,---,---,---,---
