Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
19:09:2026,00:15,C,mm,km/h,mm,16,17,16,0.00,0.00,578.9,---,22,50,78,1.6,8.0,W,W,---,---,---,---
19:09:2026,00:30,C,mm,km/h,mm,16,16,16,0.00,0.00,578.8,---,22,51,79,1.6,6.4,WSW,W,---,---,---,---
19:09:2026,00:45,C,mm,km/h,mm,16,16,16,0.00,0.00,578.7,---,22,51,81,1.6,9.7,S,SW,---,---,---,---
19:09:2026,01:00,C,mm,km/h,mm,16,16,16,0.00,0.00,578.6,---,22,51,82,1.6,16.1,SW,SW,---,---,---,---
19:09:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,578.7,---,22,51,82,0.0,4.8,SSW,SW,---,---,---,---
19:09:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,578.7,---,22,52,82,0.0,1.6,WSW,SW,---,---,---,---
19:09:2026,01:45,C,mm,km/h,mm,16,16,16,0.00,0.00,578.6,---,22,52,82,0.0,6.4,NW,NNW,---,---,---,---
19:09:2026,02:00,C,mm,km/h,mm,16,16,16,0.80,10.60,578.4,---,22,52,86,0.0,0.0,---,---,---,---,---,---
19:09:2026,02:15,C,mm,km/h,mm,15,16,15,0.00,0.00,578.3,---,22,52,88,0.0,0.0,---,---,---,---,---,---
19:09:2026,02:30,C,mm,km/h,mm,15,15,15,0.00,0.00,578.2,---,22,53,89,0.0,0.0,---,---,---,---,---,---
19:09:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,578.1,---,22,53,89,0.0,0.0,---,---,---,---,---,---
19:09:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,578.1,---,22,53,88,0.0,3.2,SW,SW,---,---,---,---
19:09:2026,03:15,C,mm,km/h,mm,15,15,15,0.00,0.00,578.0,---,22,54,88,0.0,1.6,SW,WSW,---,---,---,---
19:09:2026,03:30,C,mm,km/h,mm,15,15,15,0.00,0.00,578.0,---,22,54,88,0.0,3.2,NE,SW,---,---,---,---
19:09:2026,03:45,C,mm,km/h,mm,15,15,15,0.00,0.00,577.9,---,22,54,87,0.0,3.2,SSW,SW,---,---,---,---
19:09:2026,04:00,C,mm,km/h,mm,15,15,15,0.00,0.00,577.8,---,22,54,87,0.0,3.2,SW,SW,---,---,---,---
19:09:2026,04:15,C,mm,km/h,mm,15,15,15,0.00,0.00,577.7,---,22,54,87,0.0,0.0,---,---,---,---,---,---
19:09:2026,04:30,C,mm,km/h,mm,15,15,15,0.00,0.00,577.8,---,22,54,86,0.0,0.0,---,---,---,---,---,---
19:09:2026,04:45,C,mm,km/h,mm,15,15,15,0.00,0.00,577.7,---,22,54,87,0.0,0.0,---,---,---,---,---,---
19:09:2026,05:00,C,mm,km/h,mm,15,15,15,0.00,0.00,577.8,---,22,54,87,0.0,0.0,---,---,---,---,---,---
19:09:2026,05:15,C,mm,km/h,mm,15,15,15,0.00,0.00,577.9,---,22,54,88,0.0,0.0,---,---,---,---,---,---
19:09:2026,05:30,C,mm,km/h,mm,15,15,14,0.00,0.00,577.9,---,21,54,88,0.0,1.6,N,N,---,---,---,---
19:09:2026,05:45,C,mm,km/h,mm,14,15,14,0.00,0.00,578.0,---,21,54,88,0.0,3.2,WSW,WSW,---,---,---,---
19:09:2026,06:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.1,---,21,54,89,0.0,0.0,---,---,---,---,---,---
19:09:2026,06:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.0,---,21,55,89,0.0,3.2,WSW,WSW,---,---,---,---
19:09:2026,06:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.1,---,21,55,89,0.0,0.0,---,---,---,---,---,---
19:09:2026,06:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.3,---,21,55,90,0.0,0.0,---,---,---,---,---,---
19:09:2026,07:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.3,---,21,55,90,0.0,0.0,---,---,---,---,---,---
19:09:2026,07:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.3,---,21,55,89,0.0,1.6,WNW,WNW,---,---,---,---
