Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
16:08:2026,00:15,C,mm,km/h,mm,17,17,17,0.00,0.00,581.0,---,22,52,76,3.2,9.7,WSW,WSW,---,---,---,---
16:08:2026,00:30,C,mm,km/h,mm,17,17,17,0.00,0.00,580.8,---,22,52,76,3.2,9.7,WSW,W,---,---,---,---
16:08:2026,00:45,C,mm,km/h,mm,17,17,17,0.00,0.00,580.6,---,22,52,78,1.6,6.4,W,WSW,---,---,---,---
16:08:2026,01:00,C,mm,km/h,mm,17,17,17,0.00,0.00,580.4,---,22,53,79,0.0,8.0,WSW,WSW,---,---,---,---
16:08:2026,01:15,C,mm,km/h,mm,16,17,16,0.00,0.00,580.3,---,22,53,80,0.0,3.2,W,W,---,---,---,---
16:08:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,580.4,---,22,53,80,0.0,1.6,NW,NW,---,---,---,---
16:08:2026,01:45,C,mm,km/h,mm,16,16,16,0.00,0.00,580.4,---,22,53,81,0.0,0.0,---,---,---,---,---,---
16:08:2026,02:00,C,mm,km/h,mm,16,16,16,0.00,0.00,580.3,---,22,53,80,0.0,1.6,NW,NW,---,---,---,---
16:08:2026,02:15,C,mm,km/h,mm,16,16,16,0.00,0.00,580.3,---,22,53,80,0.0,3.2,WNW,WNW,---,---,---,---
16:08:2026,02:30,C,mm,km/h,mm,16,16,16,0.00,0.00,580.4,---,22,53,79,0.0,1.6,NNW,NNW,---,---,---,---
16:08:2026,02:45,C,mm,km/h,mm,16,16,16,0.00,0.00,580.3,---,22,53,80,0.0,1.6,SE,SE,---,---,---,---
16:08:2026,03:00,C,mm,km/h,mm,16,16,16,0.00,0.00,580.2,---,22,53,81,0.0,4.8,SW,WSW,---,---,---,---
16:08:2026,03:15,C,mm,km/h,mm,16,16,16,0.00,0.00,580.1,---,22,53,82,0.0,4.8,WSW,SW,---,---,---,---
16:08:2026,03:30,C,mm,km/h,mm,16,16,16,0.00,0.00,580.1,---,22,53,82,0.0,6.4,W,W,---,---,---,---
16:08:2026,03:45,C,mm,km/h,mm,15,16,15,0.00,0.00,580.3,---,22,53,84,0.0,4.8,WSW,WSW,---,---,---,---
16:08:2026,04:00,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,22,53,83,0.0,6.4,WNW,W,---,---,---,---
16:08:2026,04:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,21,54,83,0.0,4.8,WSW,W,---,---,---,---
16:08:2026,04:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,21,54,84,0.0,4.8,WSW,WSW,---,---,---,---
16:08:2026,04:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,21,54,85,0.0,0.0,---,---,---,---,---,---
16:08:2026,05:00,C,mm,km/h,mm,15,15,15,0.00,0.00,580.4,---,21,54,85,0.0,1.6,ENE,NNE,---,---,---,---
16:08:2026,05:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.5,---,21,54,86,0.0,3.2,SSW,SW,---,---,---,---
16:08:2026,05:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.6,---,21,54,86,0.0,0.0,---,---,---,---,---,---
16:08:2026,05:45,C,mm,km/h,mm,14,15,14,0.00,0.00,580.6,---,21,54,87,0.0,0.0,---,---,---,---,---,---
16:08:2026,06:00,C,mm,km/h,mm,14,14,14,0.00,0.00,580.6,---,21,54,87,0.0,0.0,---,---,---,---,---,---
16:08:2026,06:15,C,mm,km/h,mm,14,14,14,0.00,0.00,580.7,---,21,54,85,0.0,3.2,SW,W,---,---,---,---
16:08:2026,06:30,C,mm,km/h,mm,14,14,14,0.00,0.00,580.9,---,21,54,85,0.0,1.6,W,W,---,---,---,---
16:08:2026,06:45,C,mm,km/h,mm,13,14,13,0.00,0.00,580.9,---,21,54,86,0.0,0.0,---,---,---,---,---,---
16:08:2026,07:00,C,mm,km/h,mm,14,14,13,0.00,0.00,580.8,---,21,54,85,0.0,0.0,---,---,---,---,---,---
16:08:2026,07:15,C,mm,km/h,mm,15,15,14,0.00,0.00,580.7,---,21,54,83,0.0,3.2,WSW,WSW,---,---,---,---
16:08:2026,07:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.9,---,21,54,82,0.0,0.0,---,---,---,---,---,---
16:08:2026,07:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.9,---,21,53,80,0.0,3.2,WNW,WNW,---,---,---,---
16:08:2026,08:00,C,mm,km/h,mm,17,17,15,0.00,0.00,581.1,---,21,53,76,0.0,4.8,WNW,WSW,---,---,---,---
16:08:2026,08:15,C,mm,km/h,mm,18,18,17,0.00,0.00,581.1,---,21,53,71,0.0,4.8,WNW,W,---,---,---,---
16:08:2026,08:30,C,mm,km/h,mm,18,18,18,0.00,0.00,581.1,---,21,53,69,1.6,8.0,SSW,NNW,---,---,---,---
16:08:2026,08:45,C,mm,km/h,mm,19,19,18,0.00,0.00,580.9,---,21,53,66,1.6,12.9,WSW,WSW,---,---,---,---
16:08:2026,09:00,C,mm,km/h,mm,19,19,19,0.00,0.00,580.7,---,21,53,63,1.6,6.4,SSW,SW,---,---,---,---
16:08:2026,09:15,C,mm,km/h,mm,20,20,19,0.00,0.00,580.6,---,21,53,61,1.6,8.0,SW,WSW,---,---,---,---
16:08:2026,09:30,C,mm,km/h,mm,20,20,20,0.00,0.00,580.6,---,21,52,61,1.6,9.7,W,W,---,---,---,---
16:08:2026,09:45,C,mm,km/h,mm,21,21,20,0.00,0.00,580.4,---,21,52,59,1.6,8.0,WNW,SW,---,---,---,---
16:08:2026,10:00,C,mm,km/h,mm,21,21,21,0.00,0.00,580.3,---,21,52,58,1.6,11.3,WNW,WSW,---,---,---,---
16:08:2026,10:15,C,mm,km/h,mm,22,22,21,0.00,0.00,580.3,---,21,52,55,1.6,9.7,NNW,WSW,---,---,---,---
16:08:2026,10:30,C,mm,km/h,mm,22,22,21,0.00,0.00,580.4,---,21,52,52,1.6,6.4,NNW,ESE,---,---,---,---
16:08:2026,10:45,C,mm,km/h,mm,23,23,22,0.00,0.00,580.4,---,21,52,45,1.6,8.0,NW,NNW,---,---,---,---
16:08:2026,11:00,C,mm,km/h,mm,23,23,23,0.00,0.00,580.4,---,21,52,49,1.6,6.4,E,ENE,---,---,---,---
16:08:2026,11:15,C,mm,km/h,mm,23,23,23,0.00,0.00,580.3,---,21,51,46,1.6,6.4,NW,E,---,---,---,---
16:08:2026,11:30,C,mm,km/h,mm,24,24,23,0.00,0.00,580.2,---,21,51,44,1.6,9.7,E,NNW,---,---,---,---
16:08:2026,11:45,C,mm,km/h,mm,24,24,23,0.00,0.00,580.0,---,21,51,46,1.6,8.0,E,E,---,---,---,---
16:08:2026,12:00,C,mm,km/h,mm,25,25,24,0.00,0.00,579.9,---,21,51,42,1.6,9.7,WSW,W,---,---,---,---
16:08:2026,12:15,C,mm,km/h,mm,25,25,24,0.00,0.00,579.6,---,21,51,42,1.6,9.7,S,ESE,---,---,---,---
16:08:2026,12:30,C,mm,km/h,mm,26,26,25,0.00,0.00,579.6,---,21,51,40,1.6,9.7,W,NNW,---,---,---,---
16:08:2026,12:45,C,mm,km/h,mm,26,26,26,0.00,0.00,579.4,---,21,51,38,1.6,12.9,ESE,E,---,---,---,---
16:08:2026,13:00,C,mm,km/h,mm,27,27,25,0.00,0.00,579.3,---,21,50,39,1.6,8.0,WNW,E,---,---,---,---
16:08:2026,13:15,C,mm,km/h,mm,27,27,26,0.00,0.00,579.0,---,21,50,38,1.6,8.0,WNW,NNW,---,---,---,---
16:08:2026,13:30,C,mm,km/h,mm,27,27,27,0.00,0.00,579.0,---,21,50,38,1.6,11.3,NNW,NNW,---,---,---,---
16:08:2026,13:45,C,mm,km/h,mm,26,27,26,0.00,0.00,578.7,---,21,50,38,1.6,6.4,WNW,NNW,---,---,---,---
16:08:2026,14:00,C,mm,km/h,mm,26,27,26,0.00,0.00,578.4,---,21,50,38,1.6,11.3,SSW,NNW,---,---,---,---
16:08:2026,14:15,C,mm,km/h,mm,26,26,26,0.00,0.00,578.2,---,21,50,43,1.6,11.3,W,NNW,---,---,---,---
16:08:2026,14:30,C,mm,km/h,mm,26,26,26,0.00,0.00,578.0,---,21,49,41,0.0,4.8,WSW,W,---,---,---,---
16:08:2026,14:45,C,mm,km/h,mm,25,26,25,0.00,0.00,577.8,---,21,49,41,0.0,6.4,NW,NNW,---,---,---,---
16:08:2026,15:00,C,mm,km/h,mm,26,26,25,0.00,0.00,577.6,---,21,49,41,0.0,8.0,WNW,NNW,---,---,---,---
16:08:2026,15:15,C,mm,km/h,mm,26,26,26,0.00,0.00,577.6,---,21,49,40,1.6,9.7,NNE,NNW,---,---,---,---
16:08:2026,15:30,C,mm,km/h,mm,26,26,26,0.00,0.00,577.3,---,22,49,43,0.0,9.7,SSW,W,---,---,---,---
16:08:2026,15:45,C,mm,km/h,mm,25,26,25,0.00,0.00,577.3,---,22,49,47,1.6,9.7,NNE,WNW,---,---,---,---
16:08:2026,16:00,C,mm,km/h,mm,24,25,24,0.00,0.00,577.1,---,22,49,46,3.2,17.7,W,WSW,---,---,---,---
16:08:2026,16:15,C,mm,km/h,mm,24,24,24,0.00,0.00,577.0,---,22,49,50,3.2,11.3,SW,WSW,---,---,---,---
16:08:2026,16:30,C,mm,km/h,mm,24,24,24,0.00,0.00,577.3,---,22,49,53,1.6,8.0,NW,W,---,---,---,---
16:08:2026,16:45,C,mm,km/h,mm,21,24,21,0.00,0.00,577.5,---,22,49,59,1.6,17.7,SW,NW,---,---,---,---
16:08:2026,17:00,C,mm,km/h,mm,21,21,21,0.00,0.00,577.3,---,22,49,59,0.0,4.8,W,SW,---,---,---,---
16:08:2026,17:15,C,mm,km/h,mm,20,21,20,0.40,5.40,577.3,---,22,49,69,0.0,4.8,SSW,SW,---,---,---,---
16:08:2026,17:30,C,mm,km/h,mm,19,20,19,0.00,0.80,577.7,---,22,50,79,0.0,3.2,NW,NNW,---,---,---,---
16:08:2026,17:45,C,mm,km/h,mm,18,19,18,1.00,25.40,577.3,---,22,50,81,0.0,3.2,NW,NW,---,---,---,---
16:08:2026,18:00,C,mm,km/h,mm,17,18,17,0.60,25.40,577.3,---,22,51,84,0.0,3.2,NE,NE,---,---,---,---
16:08:2026,18:15,C,mm,km/h,mm,17,17,17,0.00,0.00,577.6,---,22,52,83,0.0,4.8,NNE,NE,---,---,---,---
16:08:2026,18:30,C,mm,km/h,mm,17,17,17,0.00,0.00,577.7,---,22,53,83,1.6,12.9,WNW,WSW,---,---,---,---
16:08:2026,18:45,C,mm,km/h,mm,17,17,17,0.00,0.00,577.9,---,22,53,82,1.6,8.0,W,W,---,---,---,---
16:08:2026,19:00,C,mm,km/h,mm,16,17,16,1.40,26.40,578.3,---,22,54,84,1.6,12.9,WNW,NW,---,---,---,---
16:08:2026,19:15,C,mm,km/h,mm,15,16,15,3.20,37.60,578.3,---,22,54,87,0.0,6.4,NW,NNW,---,---,---,---
16:08:2026,19:30,C,mm,km/h,mm,16,16,15,3.20,35.60,578.7,---,22,54,88,1.6,12.9,ESE,NNW,---,---,---,---
16:08:2026,19:45,C,mm,km/h,mm,15,16,15,1.40,16.80,578.7,---,22,54,88,0.0,4.8,WNW,SW,---,---,---,---
16:08:2026,20:00,C,mm,km/h,mm,16,16,15,3.80,71.20,578.8,---,22,55,89,1.6,9.7,SW,WSW,---,---,---,---
16:08:2026,20:15,C,mm,km/h,mm,16,16,16,0.20,13.80,579.0,---,22,55,90,0.0,3.2,W,W,---,---,---,---
16:08:2026,20:30,C,mm,km/h,mm,16,16,16,0.00,0.00,579.1,---,22,55,90,0.0,0.0,---,---,---,---,---,---
16:08:2026,20:45,C,mm,km/h,mm,15,16,15,0.00,0.00,579.4,---,22,55,90,0.0,0.0,---,---,---,---,---,---
16:08:2026,21:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.7,---,22,55,90,0.0,0.0,---,---,---,---,---,---
16:08:2026,21:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.0,---,22,56,91,0.0,0.0,---,---,---,---,---,---
16:08:2026,21:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.0,---,22,56,91,0.0,0.0,---,---,---,---,---,---
16:08:2026,21:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.1,---,22,56,92,0.0,0.0,---,---,---,---,---,---
16:08:2026,22:00,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,22,56,92,0.0,0.0,---,---,---,---,---,---
16:08:2026,22:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,22,56,92,0.0,1.6,ENE,ENE,---,---,---,---
16:08:2026,22:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.3,---,22,56,92,0.0,0.0,---,---,---,---,---,---
16:08:2026,22:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.4,---,22,56,91,0.0,0.0,---,---,---,---,---,---
16:08:2026,23:00,C,mm,km/h,mm,15,15,15,0.00,0.00,580.6,---,22,56,90,0.0,0.0,---,---,---,---,---,---
16:08:2026,23:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.7,---,22,56,90,0.0,0.0,---,---,---,---,---,---
16:08:2026,23:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.8,---,22,56,90,0.0,0.0,---,---,---,---,---,---
16:08:2026,23:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.9,---,22,56,90,0.0,0.0,---,---,---,---,---,---
