Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
22:08:2026,00:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.4,---,22,56,89,0.0,0.0,---,---,---,---,---,---
22:08:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.2,---,22,56,88,0.0,0.0,---,---,---,---,---,---
22:08:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.1,---,22,56,88,0.0,1.6,WSW,SW,---,---,---,---
22:08:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,580.0,---,22,56,88,0.0,0.0,---,---,---,---,---,---
22:08:2026,01:15,C,mm,km/h,mm,15,15,15,0.20,0.00,579.8,---,22,56,88,0.0,0.0,---,---,---,---,---,---
22:08:2026,01:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.6,---,21,56,89,0.0,0.0,---,---,---,---,---,---
22:08:2026,01:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.4,---,21,56,91,0.0,0.0,---,---,---,---,---,---
22:08:2026,02:00,C,mm,km/h,mm,14,15,14,0.00,0.00,579.0,---,21,56,91,0.0,0.0,---,---,---,---,---,---
22:08:2026,02:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.9,---,21,56,91,0.0,0.0,---,---,---,---,---,---
22:08:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,56,91,0.0,0.0,---,---,---,---,---,---
22:08:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,56,91,0.0,0.0,---,---,---,---,---,---
22:08:2026,03:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,56,91,0.0,0.0,---,---,---,---,---,---
22:08:2026,03:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,57,92,0.0,0.0,---,---,---,---,---,---
22:08:2026,03:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,21,57,92,0.0,0.0,---,---,---,---,---,---
22:08:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.9,---,21,57,92,0.0,0.0,---,---,---,---,---,---
