Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
28:08:2026,00:15,C,mm,km/h,mm,17,17,17,0.00,0.00,579.1,---,22,51,74,1.6,6.4,W,WSW,---,---,---,---
28:08:2026,00:30,C,mm,km/h,mm,17,17,17,0.00,0.00,578.8,---,22,51,75,1.6,9.7,WNW,W,---,---,---,---
28:08:2026,00:45,C,mm,km/h,mm,17,17,17,0.00,0.00,578.7,---,22,51,76,0.0,4.8,SSW,W,---,---,---,---
28:08:2026,01:00,C,mm,km/h,mm,16,17,16,0.00,0.00,578.5,---,22,51,77,1.6,6.4,S,WSW,---,---,---,---
28:08:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,578.5,---,22,51,76,1.6,6.4,WNW,WSW,---,---,---,---
28:08:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,578.4,---,22,51,77,0.0,4.8,SSW,WSW,---,---,---,---
28:08:2026,01:45,C,mm,km/h,mm,16,16,16,0.00,0.00,578.3,---,22,52,77,0.0,3.2,W,W,---,---,---,---
28:08:2026,02:00,C,mm,km/h,mm,16,16,16,0.00,0.00,578.3,---,22,52,78,0.0,0.0,---,---,---,---,---,---
28:08:2026,02:15,C,mm,km/h,mm,16,16,16,0.00,0.00,578.3,---,22,52,79,0.0,4.8,SW,SW,---,---,---,---
28:08:2026,02:30,C,mm,km/h,mm,15,16,15,0.00,0.00,578.2,---,22,52,80,0.0,3.2,SW,SW,---,---,---,---
28:08:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,578.2,---,22,52,80,0.0,3.2,SW,SW,---,---,---,---
28:08:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,578.1,---,22,52,81,0.0,0.0,---,---,---,---,---,---
28:08:2026,03:15,C,mm,km/h,mm,15,15,15,0.00,0.00,578.2,---,22,52,83,0.0,0.0,---,---,---,---,---,---
28:08:2026,03:30,C,mm,km/h,mm,15,15,15,0.00,0.00,578.2,---,22,52,84,0.0,3.2,SW,SW,---,---,---,---
28:08:2026,03:45,C,mm,km/h,mm,15,15,15,0.00,0.00,578.3,---,22,52,84,0.0,6.4,SSE,NNE,---,---,---,---
28:08:2026,04:00,C,mm,km/h,mm,15,15,15,0.00,0.00,578.3,---,22,52,84,0.0,4.8,SW,SSW,---,---,---,---
28:08:2026,04:15,C,mm,km/h,mm,15,15,15,0.00,0.00,578.3,---,22,52,84,0.0,3.2,WNW,NNE,---,---,---,---
28:08:2026,04:30,C,mm,km/h,mm,14,15,14,0.00,0.00,578.2,---,22,52,85,0.0,1.6,WNW,SW,---,---,---,---
28:08:2026,04:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.3,---,22,52,86,0.0,1.6,SW,SW,---,---,---,---
28:08:2026,05:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.3,---,21,53,86,0.0,0.0,---,---,---,---,---,---
28:08:2026,05:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.4,---,21,53,87,0.0,0.0,---,---,---,---,---,---
28:08:2026,05:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.4,---,21,53,87,0.0,3.2,S,S,---,---,---,---
28:08:2026,05:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.3,---,21,53,86,0.0,3.2,SW,SW,---,---,---,---
28:08:2026,06:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,53,86,0.0,0.0,---,---,---,---,---,---
28:08:2026,06:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,53,86,0.0,1.6,WSW,SW,---,---,---,---
28:08:2026,06:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,22,53,86,0.0,1.6,SW,SW,---,---,---,---
28:08:2026,06:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,22,53,86,0.0,3.2,SW,WSW,---,---,---,---
28:08:2026,07:00,C,mm,km/h,mm,15,15,14,0.00,0.00,578.9,---,22,53,85,0.0,1.6,N,WNW,---,---,---,---
28:08:2026,07:15,C,mm,km/h,mm,15,15,14,0.00,0.00,579.0,---,22,53,84,0.0,3.2,SW,SW,---,---,---,---
28:08:2026,07:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.0,---,22,53,83,0.0,4.8,SW,WSW,---,---,---,---
28:08:2026,07:45,C,mm,km/h,mm,16,16,15,0.00,0.00,579.1,---,22,52,81,0.0,4.8,SSW,SSW,---,---,---,---
28:08:2026,08:00,C,mm,km/h,mm,16,16,16,0.00,0.00,579.3,---,22,52,79,0.0,6.4,S,SW,---,---,---,---
28:08:2026,08:15,C,mm,km/h,mm,17,17,16,0.00,0.00,579.3,---,22,52,79,0.0,4.8,SSW,WSW,---,---,---,---
28:08:2026,08:30,C,mm,km/h,mm,18,18,17,0.00,0.00,579.3,---,22,52,75,0.0,8.0,S,W,---,---,---,---
28:08:2026,08:45,C,mm,km/h,mm,17,18,17,0.00,0.00,579.5,---,22,52,75,0.0,3.2,WSW,WSW,---,---,---,---
28:08:2026,09:00,C,mm,km/h,mm,18,18,17,0.00,0.00,579.6,---,22,52,74,0.0,3.2,SSW,W,---,---,---,---
28:08:2026,09:15,C,mm,km/h,mm,18,18,18,0.00,0.00,579.7,---,22,52,75,0.0,4.8,SW,NNW,---,---,---,---
28:08:2026,09:30,C,mm,km/h,mm,20,20,18,0.00,0.00,579.8,---,22,52,69,0.0,4.8,SW,SW,---,---,---,---
28:08:2026,09:45,C,mm,km/h,mm,19,20,19,0.00,0.00,579.7,---,22,51,68,0.0,3.2,WSW,WSW,---,---,---,---
28:08:2026,10:00,C,mm,km/h,mm,20,20,19,0.00,0.00,579.7,---,22,51,68,0.0,1.6,NE,NE,---,---,---,---
28:08:2026,10:15,C,mm,km/h,mm,22,22,20,0.00,0.00,579.7,---,22,52,65,0.0,4.8,W,W,---,---,---,---
28:08:2026,10:30,C,mm,km/h,mm,21,22,21,0.00,0.00,579.6,---,23,52,64,0.0,4.8,NNE,N,---,---,---,---
28:08:2026,10:45,C,mm,km/h,mm,22,22,21,0.00,0.00,579.6,---,23,52,61,1.6,8.0,WSW,WSW,---,---,---,---
28:08:2026,11:00,C,mm,km/h,mm,23,23,22,0.00,0.00,579.5,---,23,52,56,1.6,6.4,W,W,---,---,---,---
28:08:2026,11:15,C,mm,km/h,mm,23,23,23,0.00,0.00,579.3,---,23,51,55,1.6,6.4,SW,NNW,---,---,---,---
28:08:2026,11:30,C,mm,km/h,mm,23,23,22,0.00,0.00,579.2,---,23,51,55,1.6,8.0,NW,NW,---,---,---,---
28:08:2026,11:45,C,mm,km/h,mm,23,24,23,0.00,0.00,579.0,---,23,51,54,0.0,4.8,ENE,ESE,---,---,---,---
28:08:2026,12:00,C,mm,km/h,mm,23,23,23,0.00,0.00,578.8,---,22,51,55,0.0,6.4,WNW,WNW,---,---,---,---
28:08:2026,12:15,C,mm,km/h,mm,24,24,23,0.00,0.00,578.7,---,22,51,50,1.6,9.7,WNW,WNW,---,---,---,---
28:08:2026,12:30,C,mm,km/h,mm,25,25,24,0.00,0.00,578.5,---,22,52,52,1.6,8.0,SSE,NNW,---,---,---,---
28:08:2026,12:45,C,mm,km/h,mm,25,25,25,0.00,0.00,578.2,---,22,52,48,1.6,9.7,NW,NNW,---,---,---,---
28:08:2026,13:00,C,mm,km/h,mm,24,25,24,0.00,0.00,578.1,---,22,52,49,1.6,8.0,E,E,---,---,---,---
28:08:2026,13:15,C,mm,km/h,mm,24,25,24,0.00,0.00,577.9,---,22,52,50,1.6,6.4,E,E,---,---,---,---
28:08:2026,13:30,C,mm,km/h,mm,25,26,24,0.00,0.00,577.8,---,22,52,47,0.0,6.4,WSW,N,---,---,---,---
28:08:2026,13:45,C,mm,km/h,mm,25,25,25,0.00,0.00,577.6,---,22,52,48,1.6,6.4,ESE,E,---,---,---,---
28:08:2026,14:00,C,mm,km/h,mm,26,26,25,0.00,0.00,577.3,---,22,52,43,0.0,8.0,NW,W,---,---,---,---
28:08:2026,14:15,C,mm,km/h,mm,27,27,26,0.00,0.00,577.1,---,22,52,40,0.0,6.4,E,WSW,---,---,---,---
28:08:2026,14:30,C,mm,km/h,mm,27,27,27,0.00,0.00,576.8,---,22,52,40,1.6,8.0,NW,NNW,---,---,---,---
28:08:2026,14:45,C,mm,km/h,mm,27,27,26,0.00,0.00,576.4,---,22,51,43,1.6,6.4,E,E,---,---,---,---
28:08:2026,15:00,C,mm,km/h,mm,27,27,27,0.00,0.00,576.2,---,23,50,40,1.6,8.0,WSW,E,---,---,---,---
28:08:2026,15:15,C,mm,km/h,mm,27,28,27,0.00,0.00,575.9,---,23,50,40,1.6,6.4,WSW,W,---,---,---,---
28:08:2026,15:30,C,mm,km/h,mm,26,27,26,0.00,0.00,575.8,---,23,50,42,1.6,9.7,WSW,WSW,---,---,---,---
