Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
13:08:2026,00:15,C,mm,km/h,mm,17,17,17,0.00,0.00,578.7,---,22,50,72,0.0,6.4,SW,WSW,---,---,---,---
13:08:2026,00:30,C,mm,km/h,mm,17,17,17,0.00,0.00,578.6,---,22,50,73,0.0,6.4,SW,SW,---,---,---,---
13:08:2026,00:45,C,mm,km/h,mm,17,17,17,0.00,0.00,578.5,---,22,50,72,0.0,1.6,SSW,SSW,---,---,---,---
13:08:2026,01:00,C,mm,km/h,mm,16,17,16,0.00,0.00,578.5,---,22,50,74,0.0,0.0,---,---,---,---,---,---
13:08:2026,01:15,C,mm,km/h,mm,16,16,16,0.00,0.00,578.4,---,22,50,75,0.0,0.0,---,---,---,---,---,---
13:08:2026,01:30,C,mm,km/h,mm,16,16,16,0.00,0.00,578.4,---,22,50,75,0.0,0.0,---,---,---,---,---,---
13:08:2026,01:45,C,mm,km/h,mm,15,16,15,0.00,0.00,578.4,---,22,50,75,0.0,0.0,---,---,---,---,---,---
13:08:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,578.2,---,22,50,78,0.0,0.0,---,---,---,---,---,---
13:08:2026,02:15,C,mm,km/h,mm,14,15,14,0.00,0.00,578.2,---,22,51,82,0.0,0.0,---,---,---,---,---,---
13:08:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.2,---,22,51,84,0.0,0.0,---,---,---,---,---,---
13:08:2026,02:45,C,mm,km/h,mm,13,14,13,0.00,0.00,578.1,---,22,51,86,0.0,0.0,---,---,---,---,---,---
13:08:2026,03:00,C,mm,km/h,mm,13,13,13,0.00,0.00,577.9,---,22,51,87,0.0,0.0,---,---,---,---,---,---
13:08:2026,03:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.0,---,22,51,88,0.0,0.0,---,---,---,---,---,---
13:08:2026,03:30,C,mm,km/h,mm,13,13,13,0.00,0.00,578.1,---,22,51,87,0.0,0.0,---,---,---,---,---,---
13:08:2026,03:45,C,mm,km/h,mm,12,13,12,0.00,0.00,578.1,---,22,51,88,0.0,0.0,---,---,---,---,---,---
13:08:2026,04:00,C,mm,km/h,mm,12,13,12,0.00,0.00,578.1,---,22,51,90,0.0,0.0,---,---,---,---,---,---
13:08:2026,04:15,C,mm,km/h,mm,13,13,12,0.00,0.00,578.0,---,22,51,90,0.0,0.0,---,---,---,---,---,---
13:08:2026,04:30,C,mm,km/h,mm,13,13,12,0.00,0.00,577.9,---,22,52,91,0.0,0.0,---,---,---,---,---,---
13:08:2026,04:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.0,---,22,52,91,0.0,0.0,---,---,---,---,---,---
13:08:2026,05:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.1,---,22,52,92,0.0,0.0,---,---,---,---,---,---
13:08:2026,05:15,C,mm,km/h,mm,12,13,12,0.00,0.00,578.3,---,22,52,91,0.0,0.0,---,---,---,---,---,---
13:08:2026,05:30,C,mm,km/h,mm,12,12,12,0.00,0.00,578.4,---,22,52,91,0.0,0.0,---,---,---,---,---,---
13:08:2026,05:45,C,mm,km/h,mm,12,12,12,0.00,0.00,578.3,---,22,52,92,0.0,0.0,---,---,---,---,---,---
13:08:2026,06:00,C,mm,km/h,mm,12,12,12,0.00,0.00,578.4,---,22,52,92,0.0,0.0,---,---,---,---,---,---
13:08:2026,06:15,C,mm,km/h,mm,12,12,12,0.00,0.00,578.4,---,21,52,92,0.0,0.0,---,---,---,---,---,---
13:08:2026,06:30,C,mm,km/h,mm,12,12,12,0.00,0.00,578.5,---,22,52,92,0.0,0.0,---,---,---,---,---,---
