Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
17:08:2026,00:15,C,mm,km/h,mm,15,15,15,0.00,0.00,580.6,---,21,56,88,0.0,0.0,---,---,---,---,---,---
17:08:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,580.4,---,21,56,86,0.0,1.6,SSE,S,---,---,---,---
17:08:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,580.2,---,21,56,85,0.0,1.6,SSW,SW,---,---,---,---
17:08:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,580.2,---,21,56,87,0.0,0.0,---,---,---,---,---,---
17:08:2026,01:15,C,mm,km/h,mm,14,15,14,0.00,0.00,580.0,---,21,56,87,0.0,1.6,SW,WSW,---,---,---,---
17:08:2026,01:30,C,mm,km/h,mm,15,15,14,0.00,0.00,580.0,---,21,55,85,0.0,3.2,WSW,W,---,---,---,---
17:08:2026,01:45,C,mm,km/h,mm,14,15,14,0.00,0.00,579.9,---,21,55,86,0.0,0.0,---,---,---,---,---,---
17:08:2026,02:00,C,mm,km/h,mm,15,15,14,0.00,0.00,579.9,---,21,55,86,0.0,4.8,SW,W,---,---,---,---
17:08:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,579.7,---,21,55,86,1.6,6.4,W,W,---,---,---,---
17:08:2026,02:30,C,mm,km/h,mm,14,15,14,0.00,0.00,579.6,---,21,55,87,0.0,1.6,NNW,NNW,---,---,---,---
17:08:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.6,---,21,55,87,0.0,1.6,W,W,---,---,---,---
17:08:2026,03:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.6,---,21,55,87,0.0,3.2,WSW,WSW,---,---,---,---
17:08:2026,03:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.5,---,21,55,87,0.0,0.0,---,---,---,---,---,---
17:08:2026,03:30,C,mm,km/h,mm,13,14,13,0.00,0.00,579.4,---,21,55,88,0.0,0.0,---,---,---,---,---,---
17:08:2026,03:45,C,mm,km/h,mm,13,13,13,0.00,0.00,579.3,---,21,55,88,0.0,0.0,---,---,---,---,---,---
17:08:2026,04:00,C,mm,km/h,mm,13,13,13,0.00,0.00,579.3,---,21,55,88,0.0,1.6,WSW,WSW,---,---,---,---
17:08:2026,04:15,C,mm,km/h,mm,13,13,13,0.00,0.00,579.4,---,21,55,87,0.0,1.6,WNW,SE,---,---,---,---
17:08:2026,04:30,C,mm,km/h,mm,14,14,13,0.00,0.00,579.5,---,21,54,87,0.0,3.2,SW,W,---,---,---,---
