Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
20:08:2026,00:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.3,---,22,56,91,0.0,0.0,---,---,---,---,---,---
20:08:2026,00:30,C,mm,km/h,mm,13,14,13,0.00,0.00,579.4,---,22,56,92,0.0,0.0,---,---,---,---,---,---
20:08:2026,00:45,C,mm,km/h,mm,14,14,13,0.00,0.00,579.3,---,22,56,92,0.0,0.0,---,---,---,---,---,---
20:08:2026,01:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,22,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,01:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.0,---,22,56,92,0.0,0.0,---,---,---,---,---,---
20:08:2026,01:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.8,---,22,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,01:45,C,mm,km/h,mm,13,14,13,0.00,0.00,578.5,---,22,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,02:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.6,---,22,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,02:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.5,---,22,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,02:30,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,02:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,03:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.3,---,21,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,03:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.2,---,21,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,03:30,C,mm,km/h,mm,13,13,13,0.20,0.00,577.9,---,21,56,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,03:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.0,---,21,56,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,04:00,C,mm,km/h,mm,13,14,13,0.00,0.00,577.8,---,21,56,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,04:15,C,mm,km/h,mm,13,13,13,0.00,0.00,577.7,---,21,56,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,04:30,C,mm,km/h,mm,13,13,13,0.00,0.00,577.9,---,21,56,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,04:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.0,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,05:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.0,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,05:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.2,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,05:30,C,mm,km/h,mm,13,13,13,0.00,0.00,578.3,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,05:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,06:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,06:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,06:30,C,mm,km/h,mm,14,14,13,0.00,0.00,578.6,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,06:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,07:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.8,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,07:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.0,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,07:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.1,---,21,57,94,0.0,0.0,---,---,---,---,---,---
20:08:2026,07:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.1,---,21,57,93,0.0,0.0,---,---,---,---,---,---
20:08:2026,08:00,C,mm,km/h,mm,15,15,14,0.00,0.00,579.2,---,21,56,91,0.0,0.0,---,---,---,---,---,---
20:08:2026,08:15,C,mm,km/h,mm,16,16,15,0.00,0.00,579.3,---,22,56,89,0.0,0.0,---,---,---,---,---,---
20:08:2026,08:30,C,mm,km/h,mm,16,16,16,0.00,0.00,579.4,---,22,56,87,0.0,0.0,---,---,---,---,---,---
20:08:2026,08:45,C,mm,km/h,mm,17,17,16,0.00,0.00,579.5,---,22,56,84,0.0,0.0,---,---,---,---,---,---
20:08:2026,09:00,C,mm,km/h,mm,18,18,17,0.00,0.00,579.4,---,22,56,81,0.0,3.2,WSW,WNW,---,---,---,---
20:08:2026,09:15,C,mm,km/h,mm,18,18,17,0.00,0.00,579.6,---,22,55,80,0.0,3.2,ENE,ENE,---,---,---,---
20:08:2026,09:30,C,mm,km/h,mm,18,18,18,0.00,0.00,579.6,---,22,55,78,0.0,3.2,SW,WSW,---,---,---,---
20:08:2026,09:45,C,mm,km/h,mm,19,19,18,0.00,0.00,579.8,---,22,55,72,0.0,6.4,WSW,WSW,---,---,---,---
20:08:2026,10:00,C,mm,km/h,mm,19,19,19,0.00,0.00,579.9,---,22,55,70,0.0,8.0,SSW,W,---,---,---,---
20:08:2026,10:15,C,mm,km/h,mm,19,19,19,0.00,0.00,580.1,---,22,55,70,0.0,3.2,NE,NE,---,---,---,---
20:08:2026,10:30,C,mm,km/h,mm,20,20,19,0.00,0.00,580.0,---,22,54,68,0.0,3.2,WNW,WNW,---,---,---,---
20:08:2026,10:45,C,mm,km/h,mm,20,20,20,0.00,0.00,579.9,---,22,55,68,0.0,1.6,WNW,NNW,---,---,---,---
20:08:2026,11:00,C,mm,km/h,mm,21,21,20,0.00,0.00,579.7,---,22,55,64,0.0,6.4,SSW,SSW,---,---,---,---
20:08:2026,11:15,C,mm,km/h,mm,21,21,21,0.00,0.00,579.6,---,22,55,65,0.0,3.2,SW,SW,---,---,---,---
20:08:2026,11:30,C,mm,km/h,mm,21,21,21,0.00,0.00,579.6,---,22,54,63,0.0,0.0,---,---,---,---,---,---
20:08:2026,11:45,C,mm,km/h,mm,22,22,21,0.00,0.00,579.5,---,22,54,62,0.0,8.0,WSW,WSW,---,---,---,---
20:08:2026,12:00,C,mm,km/h,mm,21,22,21,0.00,0.00,579.3,---,22,54,62,0.0,4.8,E,E,---,---,---,---
20:08:2026,12:15,C,mm,km/h,mm,23,23,21,0.00,0.00,579.1,---,22,54,61,1.6,11.3,SW,W,---,---,---,---
20:08:2026,12:30,C,mm,km/h,mm,23,23,23,0.00,0.00,578.9,---,23,53,58,0.0,11.3,SSW,SW,---,---,---,---
20:08:2026,12:45,C,mm,km/h,mm,23,23,23,0.00,0.00,578.5,---,23,53,58,1.6,9.7,S,E,---,---,---,---
20:08:2026,13:00,C,mm,km/h,mm,23,24,23,0.00,0.00,578.4,---,23,53,55,1.6,9.7,SW,WSW,---,---,---,---
20:08:2026,13:15,C,mm,km/h,mm,23,23,23,0.00,0.00,578.3,---,23,53,57,1.6,4.8,SW,W,---,---,---,---
20:08:2026,13:30,C,mm,km/h,mm,23,24,23,0.00,0.00,578.0,---,23,53,56,0.0,4.8,ESE,ESE,---,---,---,---
20:08:2026,13:45,C,mm,km/h,mm,25,25,23,0.00,0.00,577.8,---,23,53,52,0.0,6.4,SSW,W,---,---,---,---
20:08:2026,14:00,C,mm,km/h,mm,25,26,25,0.00,0.00,577.6,---,23,52,50,1.6,11.3,SW,SW,---,---,---,---
20:08:2026,14:15,C,mm,km/h,mm,25,26,25,0.00,0.00,577.4,---,23,52,51,0.0,3.2,NW,NW,---,---,---,---
20:08:2026,14:30,C,mm,km/h,mm,24,25,24,0.00,0.00,577.2,---,23,52,53,0.0,9.7,SSE,ENE,---,---,---,---
20:08:2026,14:45,C,mm,km/h,mm,25,25,24,0.00,0.00,577.0,---,23,51,51,0.0,4.8,W,W,---,---,---,---
20:08:2026,15:00,C,mm,km/h,mm,25,25,25,0.00,0.00,576.7,---,23,51,50,0.0,4.8,E,E,---,---,---,---
20:08:2026,15:15,C,mm,km/h,mm,26,26,25,0.00,0.00,576.6,---,23,51,50,0.0,6.4,E,E,---,---,---,---
20:08:2026,15:30,C,mm,km/h,mm,26,26,26,0.00,0.00,576.4,---,23,51,49,0.0,4.8,ENE,E,---,---,---,---
20:08:2026,15:45,C,mm,km/h,mm,25,26,25,0.00,0.00,576.4,---,23,51,49,0.0,8.0,WNW,WNW,---,---,---,---
20:08:2026,16:00,C,mm,km/h,mm,26,26,25,0.00,0.00,576.4,---,23,51,49,0.0,1.6,W,W,---,---,---,---
