Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
10:08:2026,00:15,C,mm,km/h,mm,15,15,15,0.00,0.00,579.1,---,21,57,89,0.0,3.2,SW,SW,---,---,---,---
10:08:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.0,---,21,57,88,0.0,0.0,---,---,---,---,---,---
10:08:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,578.7,---,21,57,88,0.0,0.0,---,---,---,---,---,---
10:08:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,578.6,---,21,57,88,0.0,3.2,SW,SW,---,---,---,---
10:08:2026,01:15,C,mm,km/h,mm,14,15,14,0.00,0.00,578.6,---,21,57,88,0.0,0.0,---,---,---,---,---,---
10:08:2026,01:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,57,89,0.0,0.0,---,---,---,---,---,---
10:08:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,57,90,0.0,1.6,NNW,NNW,---,---,---,---
10:08:2026,02:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,57,90,0.0,0.0,---,---,---,---,---,---
10:08:2026,02:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,57,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,02:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,57,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,21,57,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,03:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,20,57,92,0.0,0.0,---,---,---,---,---,---
10:08:2026,03:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.8,---,21,57,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,03:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.9,---,20,57,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.1,---,20,57,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,04:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,20,58,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,04:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,20,58,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,04:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.2,---,20,58,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,04:45,C,mm,km/h,mm,14,14,14,0.00,0.00,579.4,---,20,58,92,0.0,0.0,---,---,---,---,---,---
10:08:2026,05:00,C,mm,km/h,mm,14,14,14,0.00,0.00,579.6,---,20,58,92,0.0,0.0,---,---,---,---,---,---
10:08:2026,05:15,C,mm,km/h,mm,15,15,14,0.00,0.00,579.8,---,21,58,91,0.0,0.0,---,---,---,---,---,---
10:08:2026,05:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.9,---,21,58,90,0.0,0.0,---,---,---,---,---,---
10:08:2026,05:45,C,mm,km/h,mm,16,16,15,0.00,0.00,580.0,---,21,58,89,0.0,0.0,---,---,---,---,---,---
10:08:2026,06:00,C,mm,km/h,mm,16,16,16,0.00,0.00,580.0,---,21,58,87,0.0,0.0,---,---,---,---,---,---
10:08:2026,06:15,C,mm,km/h,mm,16,16,16,0.00,0.00,580.0,---,21,58,86,0.0,0.0,---,---,---,---,---,---
10:08:2026,06:30,C,mm,km/h,mm,16,17,16,0.00,0.00,580.1,---,21,58,85,0.0,0.0,---,---,---,---,---,---
10:08:2026,06:45,C,mm,km/h,mm,17,17,16,0.00,0.00,580.1,---,21,58,84,0.0,0.0,---,---,---,---,---,---
10:08:2026,07:00,C,mm,km/h,mm,17,17,17,0.00,0.00,580.2,---,21,58,84,0.0,0.0,---,---,---,---,---,---
10:08:2026,07:15,C,mm,km/h,mm,17,17,17,0.00,0.00,580.3,---,21,58,83,0.0,0.0,---,---,---,---,---,---
10:08:2026,07:30,C,mm,km/h,mm,18,18,17,0.00,0.00,580.1,---,21,58,81,0.0,1.6,NE,ENE,---,---,---,---
10:08:2026,07:45,C,mm,km/h,mm,20,20,18,0.00,0.00,580.0,---,21,58,71,0.0,6.4,WNW,NW,---,---,---,---
10:08:2026,08:00,C,mm,km/h,mm,20,20,20,0.00,0.00,580.0,---,21,58,68,0.0,1.6,NW,ENE,---,---,---,---
10:08:2026,08:15,C,mm,km/h,mm,21,21,20,0.00,0.00,580.0,---,21,58,64,0.0,3.2,NE,NE,---,---,---,---
10:08:2026,08:30,C,mm,km/h,mm,22,22,21,0.00,0.00,580.0,---,21,58,64,0.0,3.2,N,ENE,---,---,---,---
10:08:2026,08:45,C,mm,km/h,mm,22,22,21,0.00,0.00,579.9,---,21,58,63,0.0,6.4,WNW,ESE,---,---,---,---
10:08:2026,09:00,C,mm,km/h,mm,22,22,22,0.00,0.00,579.8,---,21,58,57,0.0,6.4,E,E,---,---,---,---
10:08:2026,09:15,C,mm,km/h,mm,23,23,22,0.00,0.00,579.8,---,21,57,57,0.0,4.8,E,W,---,---,---,---
10:08:2026,09:30,C,mm,km/h,mm,23,23,22,0.00,0.00,579.7,---,21,57,55,0.0,8.0,NW,NNW,---,---,---,---
10:08:2026,09:45,C,mm,km/h,mm,23,23,23,0.00,0.00,579.5,---,21,57,53,0.0,4.8,N,N,---,---,---,---
10:08:2026,10:00,C,mm,km/h,mm,24,24,23,0.00,0.00,579.4,---,21,57,53,1.6,6.4,SW,NW,---,---,---,---
10:08:2026,10:15,C,mm,km/h,mm,24,24,24,0.00,0.00,579.3,---,21,57,53,1.6,8.0,NNW,NNW,---,---,---,---
10:08:2026,10:30,C,mm,km/h,mm,25,25,24,0.00,0.00,579.0,---,21,57,49,1.6,4.8,NNW,WSW,---,---,---,---
10:08:2026,10:45,C,mm,km/h,mm,25,25,25,0.00,0.00,578.8,---,21,57,48,1.6,9.7,NW,NW,---,---,---,---
10:08:2026,11:00,C,mm,km/h,mm,25,25,25,0.00,0.00,578.6,---,21,57,48,0.0,8.0,NW,NNW,---,---,---,---
10:08:2026,11:15,C,mm,km/h,mm,25,26,25,0.00,0.00,578.4,---,21,56,46,0.0,11.3,NW,W,---,---,---,---
10:08:2026,11:30,C,mm,km/h,mm,25,25,25,0.00,0.00,578.3,---,21,56,47,1.6,12.9,NNW,NNW,---,---,---,---
10:08:2026,11:45,C,mm,km/h,mm,25,25,25,0.00,0.00,578.1,---,21,56,47,1.6,8.0,NNW,NNW,---,---,---,---
10:08:2026,12:00,C,mm,km/h,mm,25,25,25,0.00,0.00,577.9,---,21,56,46,1.6,6.4,W,NNW,---,---,---,---
10:08:2026,12:15,C,mm,km/h,mm,24,25,24,0.00,0.00,577.9,---,21,56,48,1.6,6.4,NNW,NNW,---,---,---,---
10:08:2026,12:30,C,mm,km/h,mm,23,24,23,0.00,0.00,577.9,---,21,56,52,0.0,4.8,E,E,---,---,---,---
10:08:2026,12:45,C,mm,km/h,mm,23,23,23,0.00,0.00,577.8,---,21,55,52,1.6,9.7,SSE,E,---,---,---,---
10:08:2026,13:00,C,mm,km/h,mm,21,23,21,0.00,0.00,577.8,---,21,55,60,4.8,14.5,SE,E,---,---,---,---
10:08:2026,13:15,C,mm,km/h,mm,20,22,20,0.00,0.00,577.6,---,22,55,66,3.2,12.9,ESE,E,---,---,---,---
10:08:2026,13:30,C,mm,km/h,mm,20,20,20,0.00,0.00,577.6,---,22,55,63,3.2,8.0,E,E,---,---,---,---
10:08:2026,13:45,C,mm,km/h,mm,21,21,20,0.00,0.00,577.5,---,22,55,58,1.6,9.7,ESE,E,---,---,---,---
10:08:2026,14:00,C,mm,km/h,mm,22,22,21,0.00,0.00,577.3,---,22,55,56,1.6,8.0,E,E,---,---,---,---
10:08:2026,14:15,C,mm,km/h,mm,23,23,22,0.00,0.00,577.4,---,22,55,52,3.2,9.7,SSE,E,---,---,---,---
10:08:2026,14:30,C,mm,km/h,mm,23,23,23,0.00,0.00,577.1,---,22,54,51,1.6,8.0,E,E,---,---,---,---
10:08:2026,14:45,C,mm,km/h,mm,22,23,22,0.00,0.00,577.2,---,22,54,51,1.6,8.0,ESE,E,---,---,---,---
