Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
30:08:2026,00:15,C,mm,km/h,mm,15,16,15,0.00,0.00,579.8,---,21,54,82,0.0,3.2,SW,SW,---,---,---,---
30:08:2026,00:30,C,mm,km/h,mm,15,15,15,0.00,0.00,579.7,---,21,54,83,0.0,3.2,WSW,W,---,---,---,---
30:08:2026,00:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.7,---,21,54,84,0.0,1.6,WSW,WSW,---,---,---,---
30:08:2026,01:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.7,---,21,54,85,0.0,0.0,---,---,---,---,---,---
30:08:2026,01:15,C,mm,km/h,mm,15,15,15,0.00,0.00,579.6,---,21,55,85,0.0,0.0,---,---,---,---,---,---
30:08:2026,01:30,C,mm,km/h,mm,15,15,14,0.00,0.00,579.4,---,21,55,86,0.0,0.0,---,---,---,---,---,---
30:08:2026,01:45,C,mm,km/h,mm,15,15,15,0.00,0.00,579.3,---,21,55,85,0.0,3.2,WSW,WSW,---,---,---,---
30:08:2026,02:00,C,mm,km/h,mm,15,15,15,0.00,0.00,579.1,---,21,55,86,0.0,0.0,---,---,---,---,---,---
30:08:2026,02:15,C,mm,km/h,mm,15,15,15,0.00,0.00,579.1,---,21,55,86,0.0,0.0,---,---,---,---,---,---
30:08:2026,02:30,C,mm,km/h,mm,14,15,14,0.00,0.00,578.9,---,21,55,87,0.0,0.0,---,---,---,---,---,---
30:08:2026,02:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,55,88,0.0,0.0,---,---,---,---,---,---
30:08:2026,03:00,C,mm,km/h,mm,15,15,14,0.00,0.00,578.5,---,21,55,86,0.0,0.0,---,---,---,---,---,---
30:08:2026,03:15,C,mm,km/h,mm,14,15,14,0.00,0.00,578.5,---,21,55,87,0.0,0.0,---,---,---,---,---,---
30:08:2026,03:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.4,---,21,55,88,0.0,0.0,---,---,---,---,---,---
30:08:2026,03:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.5,---,21,55,88,0.0,0.0,---,---,---,---,---,---
30:08:2026,04:00,C,mm,km/h,mm,13,14,13,0.00,0.00,578.4,---,21,55,89,0.0,0.0,---,---,---,---,---,---
30:08:2026,04:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,55,89,0.0,0.0,---,---,---,---,---,---
30:08:2026,04:30,C,mm,km/h,mm,13,13,13,0.00,0.00,578.3,---,21,55,90,0.0,0.0,---,---,---,---,---,---
30:08:2026,04:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.4,---,21,55,91,0.0,0.0,---,---,---,---,---,---
30:08:2026,05:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.5,---,21,55,90,0.0,0.0,---,---,---,---,---,---
30:08:2026,05:15,C,mm,km/h,mm,13,13,13,0.00,0.00,578.5,---,21,55,91,0.0,0.0,---,---,---,---,---,---
30:08:2026,05:30,C,mm,km/h,mm,12,13,12,0.00,0.00,578.8,---,21,55,92,0.0,0.0,---,---,---,---,---,---
30:08:2026,05:45,C,mm,km/h,mm,12,13,12,0.00,0.00,578.9,---,21,55,92,0.0,0.0,---,---,---,---,---,---
30:08:2026,06:00,C,mm,km/h,mm,13,13,12,0.00,0.00,579.0,---,21,55,93,0.0,0.0,---,---,---,---,---,---
30:08:2026,06:15,C,mm,km/h,mm,13,13,13,0.00,0.00,579.0,---,21,56,93,0.0,0.0,---,---,---,---,---,---
30:08:2026,06:30,C,mm,km/h,mm,13,13,13,0.00,0.00,579.0,---,21,56,92,0.0,0.0,---,---,---,---,---,---
30:08:2026,06:45,C,mm,km/h,mm,13,13,13,0.00,0.00,579.1,---,21,56,92,0.0,0.0,---,---,---,---,---,---
30:08:2026,07:00,C,mm,km/h,mm,13,13,13,0.00,0.00,579.1,---,21,56,92,0.0,0.0,---,---,---,---,---,---
30:08:2026,07:15,C,mm,km/h,mm,13,13,13,0.00,0.00,579.4,---,21,56,92,0.0,0.0,---,---,---,---,---,---
30:08:2026,07:30,C,mm,km/h,mm,13,13,13,0.00,0.00,579.3,---,21,56,92,0.0,0.0,---,---,---,---,---,---
30:08:2026,07:45,C,mm,km/h,mm,14,14,13,0.00,0.00,579.4,---,21,56,91,0.0,0.0,---,---,---,---,---,---
30:08:2026,08:00,C,mm,km/h,mm,15,15,14,0.00,0.00,579.4,---,21,56,90,0.0,0.0,---,---,---,---,---,---
30:08:2026,08:15,C,mm,km/h,mm,17,17,15,0.00,0.00,579.4,---,21,56,82,0.0,3.2,W,W,---,---,---,---
30:08:2026,08:30,C,mm,km/h,mm,17,17,17,0.00,0.00,579.6,---,21,56,78,0.0,1.6,NNE,NNE,---,---,---,---
30:08:2026,08:45,C,mm,km/h,mm,17,17,17,0.00,0.00,579.7,---,21,56,76,0.0,0.0,---,---,---,---,---,---
30:08:2026,09:00,C,mm,km/h,mm,19,19,17,0.00,0.00,579.8,---,21,56,73,0.0,0.0,---,---,---,---,---,---
30:08:2026,09:15,C,mm,km/h,mm,20,20,19,0.00,0.00,579.8,---,21,56,64,0.0,1.6,NE,ENE,---,---,---,---
30:08:2026,09:30,C,mm,km/h,mm,20,20,19,0.00,0.00,579.6,---,21,56,66,0.0,1.6,ENE,ENE,---,---,---,---
30:08:2026,09:45,C,mm,km/h,mm,20,20,19,0.00,0.00,579.6,---,21,56,63,0.0,1.6,NNE,ENE,---,---,---,---
30:08:2026,10:00,C,mm,km/h,mm,21,21,20,0.00,0.00,579.5,---,21,55,56,0.0,4.8,NNW,W,---,---,---,---
30:08:2026,10:15,C,mm,km/h,mm,23,23,21,0.00,0.00,579.4,---,21,55,53,0.0,3.2,W,WSW,---,---,---,---
30:08:2026,10:30,C,mm,km/h,mm,22,22,22,0.00,0.00,579.3,---,21,55,56,0.0,4.8,ENE,ENE,---,---,---,---
30:08:2026,10:45,C,mm,km/h,mm,23,23,22,0.00,0.00,579.2,---,21,55,50,0.0,4.8,WNW,WNW,---,---,---,---
30:08:2026,11:00,C,mm,km/h,mm,22,23,22,0.00,0.00,579.0,---,21,55,49,1.6,8.0,WSW,E,---,---,---,---
30:08:2026,11:15,C,mm,km/h,mm,23,23,22,0.00,0.00,578.8,---,21,55,53,0.0,4.8,NNW,ENE,---,---,---,---
30:08:2026,11:30,C,mm,km/h,mm,24,24,23,0.00,0.00,578.7,---,21,54,45,1.6,8.0,NW,NNW,---,---,---,---
30:08:2026,11:45,C,mm,km/h,mm,24,24,24,0.00,0.00,578.5,---,21,54,43,1.6,8.0,NW,NNW,---,---,---,---
30:08:2026,12:00,C,mm,km/h,mm,24,24,24,0.00,0.00,578.4,---,21,54,42,1.6,4.8,SE,ENE,---,---,---,---
30:08:2026,12:15,C,mm,km/h,mm,25,25,24,0.00,0.00,578.3,---,21,53,41,1.6,6.4,ENE,NW,---,---,---,---
30:08:2026,12:30,C,mm,km/h,mm,25,25,25,0.00,0.00,578.1,---,21,53,40,0.0,8.0,ESE,ENE,---,---,---,---
30:08:2026,12:45,C,mm,km/h,mm,25,25,25,0.00,0.00,578.0,---,21,53,39,0.0,4.8,ENE,NNW,---,---,---,---
30:08:2026,13:00,C,mm,km/h,mm,26,26,25,0.00,0.00,577.8,---,21,53,37,1.6,6.4,NNE,NNE,---,---,---,---
30:08:2026,13:15,C,mm,km/h,mm,26,26,26,0.00,0.00,577.7,---,21,53,38,1.6,9.7,NW,E,---,---,---,---
30:08:2026,13:30,C,mm,km/h,mm,26,26,25,0.00,0.00,577.5,---,21,52,37,1.6,6.4,SE,E,---,---,---,---
30:08:2026,13:45,C,mm,km/h,mm,26,26,26,0.00,0.00,577.3,---,21,52,32,1.6,8.0,WNW,E,---,---,---,---
30:08:2026,14:00,C,mm,km/h,mm,27,27,26,0.00,0.00,577.1,---,21,52,33,1.6,8.0,ESE,ENE,---,---,---,---
30:08:2026,14:15,C,mm,km/h,mm,27,27,26,0.00,0.00,577.0,---,21,51,33,1.6,6.4,NNW,ESE,---,---,---,---
30:08:2026,14:30,C,mm,km/h,mm,28,28,27,0.00,0.00,576.7,---,21,51,31,1.6,9.7,NW,NW,---,---,---,---
30:08:2026,14:45,C,mm,km/h,mm,27,28,27,0.00,0.00,576.4,---,21,50,32,1.6,8.0,W,E,---,---,---,---
30:08:2026,15:00,C,mm,km/h,mm,28,28,27,0.00,0.00,576.1,---,21,50,33,1.6,9.7,SE,E,---,---,---,---
30:08:2026,15:15,C,mm,km/h,mm,27,28,27,0.00,0.00,575.9,---,21,50,32,1.6,14.5,ESE,ESE,---,---,---,---
30:08:2026,15:30,C,mm,km/h,mm,27,28,27,0.00,0.00,575.9,---,21,49,34,1.6,6.4,NW,ENE,---,---,---,---
30:08:2026,15:45,C,mm,km/h,mm,25,27,25,0.00,0.00,575.8,---,21,49,40,1.6,8.0,ENE,E,---,---,---,---
30:08:2026,16:00,C,mm,km/h,mm,24,25,24,0.00,0.00,575.8,---,21,49,44,3.2,11.3,E,E,---,---,---,---
30:08:2026,16:15,C,mm,km/h,mm,24,24,24,0.00,0.00,575.8,---,22,49,46,4.8,12.9,E,E,---,---,---,---
30:08:2026,16:30,C,mm,km/h,mm,24,24,24,0.00,0.00,575.8,---,22,49,45,4.8,16.1,E,E,---,---,---,---
30:08:2026,16:45,C,mm,km/h,mm,24,24,24,0.00,0.00,575.7,---,22,48,46,3.2,8.0,E,E,---,---,---,---
30:08:2026,17:00,C,mm,km/h,mm,24,24,24,0.00,0.00,575.5,---,22,48,45,1.6,9.7,SE,E,---,---,---,---
30:08:2026,17:15,C,mm,km/h,mm,23,24,23,0.00,0.00,575.5,---,22,48,45,1.6,6.4,E,E,---,---,---,---
30:08:2026,17:30,C,mm,km/h,mm,23,23,23,0.00,0.00,575.6,---,22,48,45,1.6,8.0,E,E,---,---,---,---
30:08:2026,17:45,C,mm,km/h,mm,23,23,23,0.00,0.00,575.6,---,22,48,44,1.6,4.8,E,E,---,---,---,---
30:08:2026,18:00,C,mm,km/h,mm,23,23,23,0.00,0.00,575.7,---,22,48,42,0.0,6.4,E,E,---,---,---,---
30:08:2026,18:15,C,mm,km/h,mm,23,23,23,0.00,0.00,575.9,---,22,48,43,0.0,0.0,---,---,---,---,---,---
30:08:2026,18:30,C,mm,km/h,mm,22,23,22,0.00,0.00,576.1,---,22,48,45,0.0,3.2,WNW,WNW,---,---,---,---
30:08:2026,18:45,C,mm,km/h,mm,22,22,22,0.00,0.00,576.2,---,22,48,51,1.6,12.9,SSW,W,---,---,---,---
30:08:2026,19:00,C,mm,km/h,mm,21,22,21,0.00,0.00,576.4,---,22,48,54,0.0,6.4,WNW,W,---,---,---,---
30:08:2026,19:15,C,mm,km/h,mm,21,21,21,0.00,0.00,576.7,---,22,49,56,1.6,16.1,WSW,W,---,---,---,---
30:08:2026,19:30,C,mm,km/h,mm,20,21,20,0.00,0.00,576.7,---,22,49,57,0.0,4.8,WSW,WSW,---,---,---,---
30:08:2026,19:45,C,mm,km/h,mm,20,20,20,0.00,0.00,577.1,---,22,49,58,0.0,12.9,S,WSW,---,---,---,---
30:08:2026,20:00,C,mm,km/h,mm,19,20,19,0.00,0.00,577.4,---,22,49,62,3.2,12.9,SSE,SW,---,---,---,---
30:08:2026,20:15,C,mm,km/h,mm,18,19,18,0.00,0.00,577.7,---,22,49,65,1.6,9.7,SW,SW,---,---,---,---
30:08:2026,20:30,C,mm,km/h,mm,18,18,18,0.00,0.00,578.0,---,22,49,67,4.8,14.5,SW,WSW,---,---,---,---
30:08:2026,20:45,C,mm,km/h,mm,18,18,18,0.00,0.00,578.3,---,22,49,68,3.2,12.9,SSW,SW,---,---,---,---
30:08:2026,21:00,C,mm,km/h,mm,18,18,18,0.00,0.00,578.5,---,22,50,68,3.2,11.3,W,WSW,---,---,---,---
30:08:2026,21:15,C,mm,km/h,mm,18,18,18,0.00,0.00,578.7,---,22,50,67,1.6,6.4,WSW,WSW,---,---,---,---
30:08:2026,21:30,C,mm,km/h,mm,18,18,18,0.00,0.00,578.9,---,22,50,69,1.6,6.4,W,WSW,---,---,---,---
30:08:2026,21:45,C,mm,km/h,mm,18,18,18,0.00,0.00,578.9,---,22,50,70,0.0,4.8,SW,SW,---,---,---,---
30:08:2026,22:00,C,mm,km/h,mm,18,18,18,0.00,0.00,578.7,---,22,50,71,0.0,4.8,SW,WSW,---,---,---,---
30:08:2026,22:15,C,mm,km/h,mm,17,18,17,0.00,0.00,578.7,---,22,50,72,1.6,6.4,SW,SW,---,---,---,---
30:08:2026,22:30,C,mm,km/h,mm,17,17,17,0.00,0.00,578.9,---,22,50,73,0.0,4.8,SW,W,---,---,---,---
30:08:2026,22:45,C,mm,km/h,mm,17,17,17,0.00,0.00,578.9,---,22,51,74,0.0,1.6,W,W,---,---,---,---
30:08:2026,23:00,C,mm,km/h,mm,17,17,17,0.00,0.00,579.0,---,22,51,74,0.0,0.0,---,---,---,---,---,---
30:08:2026,23:15,C,mm,km/h,mm,17,17,17,0.00,0.00,578.9,---,22,51,74,0.0,1.6,W,W,---,---,---,---
30:08:2026,23:30,C,mm,km/h,mm,17,17,17,0.00,0.00,579.0,---,22,51,75,0.0,1.6,WSW,WSW,---,---,---,---
30:08:2026,23:45,C,mm,km/h,mm,17,17,17,0.00,0.00,579.1,---,22,51,76,0.0,3.2,S,SW,---,---,---,---
